Protein.Accession,Group.Proteins,Group.Accessions,Gene,FC,FCmin,FCmax,Adj_pValue,Log2FC,Log10pValue,Log2FCmin,Log2FCmax,FC_SE,FC_SD_NoProp,FC_SD_Log2,type
Q9NS86,sp|Q9NS86|LANC2_HUMAN,Q9NS86,LANCL2,2.2715,1.1663,4.4242,0.0511995493,1.1836,-1.29073386201996,0.221938931628624,2.1454166053932,0.83109693877551,0.912607777797951,0.579623471409113,Not Significant
Q9UHB6,sp|Q9UHB6|LIMA1_HUMAN,Q9UHB6,LIMA1,6.3517,4.2657,9.458,0.00084595021,2.6671,-3.07265519743212,2.09278250676351,3.24153514179572,1.32456632653061,1.45447477352291,0.330362508125322,Enriched
Q9Y251,sp|Q9Y251|HPSE_HUMAN,Q9Y251,HPSE,6.0382,1.7599,20.7171,0.0316629706,2.5941,-1.49944834232688,0.815493455224613,4.37275016217668,4.83602040816327,5.31031896782324,1.26878388268311,Enriched
Q9Y2Z4,sp|Q9Y2Z4|SYYM_HUMAN,Q9Y2Z4,YARS2,7.8326,2.2706,27.0195,0.0216142126,2.9695,-1.66526058107429,1.18307357621485,4.75592907250452,6.31349489795918,6.93269855794951,1.27694122379948,Enriched
A0A075B7D4,tr|A0A075B7D4|A0A075B7D4_HUMAN,A0A075B7D4,IGKV1OR2-108,0.1782,0.1396,0.2276,0.000230243646,-2.488,-3.63781234612662,-2.8406291533398,-2.13542753724287,0.0224489795918367,0.024650690458952,0.199570307966436,Depleted
O15371,sp|O15371|EIF3D_HUMAN,O15371,EIF3D,5.9146,3.5735,9.7895,0.00203709943,2.5643,-2.69098777274433,1.83733778827332,3.29123517587171,1.58571428571429,1.74123513514597,0.424723784279025,Enriched
P01833,sp|P01833|PIGR_HUMAN,P01833,PIGR,0.235,0.1562,0.3536,0.00200403556,-2.0892,-2.69809457652996,-2.67853364140747,-1.49980982015802,0.0503571428571429,0.0552959806431491,0.339469093850908,Depleted
P0C0S8 / P04908 / Q6FI13 / P20671 / Q9BTM1 / Q7L7L0 / Q99878 / Q93077 / Q96KK5 / Q16777,sp|P0C0S8|H2A1_HUMAN / sp|P04908|H2A1B_HUMAN / sp|Q6FI13|H2A2A_HUMAN / sp|P20671|H2A1D_HUMAN / sp|Q9BTM1|H2AJ_HUMAN / sp|Q7L7L0|H2A3_HUMAN / sp|Q99878|H2A1J_HUMAN / sp|Q93077|H2A1C_HUMAN / sp|Q96KK5|H2A1H_HUMAN / sp|Q16777|H2A2C_HUMAN,P0C0S8 / P04908 / Q6FI13 / P20671 / Q9BTM1 / Q7L7L0 / Q99878 / Q93077 / Q96KK5 / Q16777,H2AC17 / H2AC8 / H2AC19 / H2AC7 / H2AJ / H2AW / H2AC14 / H2AC6 / H2AC12 / H2AC20,5.1417,2.1952,12.0433,0.0139564478,2.3623,-1.85522510443251,1.13435238662336,3.59015885586422,2.51227040816327,2.75866437169097,0.77404582307712,Enriched
P29350,sp|P29350|PTN6_HUMAN,P29350,PTPN6,10.4704,8.7081,12.5893,3.88738824e-05,3.3882,-4.41034208348253,3.12235797489816,3.65412616232838,0.990102040816326,1.08720749783278,0.149804101614136,Enriched
P34096,sp|P34096|RNAS4_HUMAN,P34096,RNASE4,0.8738,0.6314,1.2093,0.385386613,-0.1946,-0.414103375309018,-0.663373834236464,0.274172189022786,0.147423469387755,0.161882204729868,0.267277013014365,Not Significant
