Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|O94886|CSCL1_HUMAN,O94886,TMEM63A,2,29.79 (95% CI:25.71 to 34.53),29.7936,25.7083,34.528,8.43972734E-6,4.8969
sp|O94925|GLSK_HUMAN,O94925,GLS,2,5.41 (95% CI:3.99 to 7.35),5.4137,3.9862,7.3525,4.97942228E-4,2.4366
sp|P00167|CYB5_HUMAN,P00167,CYB5A,2,0.6 (95% CI:0.37 to 0.97),0.5971,0.3686,0.9671,6.99740578E-2,-0.744
sp|P02745|C1QA_HUMAN,P02745,C1QA,2,0.18 (95% CI:0.16 to 0.2),0.1818,0.1645,0.2009,1.80131049E-5,-2.4599
sp|P10599|THIO_HUMAN,P10599,TXN,2,16.12 (95% CI:13.43 to 19.36),16.1233,13.4273,19.3607,2.42032394E-5,4.0111
sp|P13747|HLAE_HUMAN,P13747,HLA-E,2,16.36 (95% CI:10.86 to 24.65),16.3632,10.8638,24.6465,2.55950421E-4,4.0324
sp|P15153|RAC2_HUMAN,P15153,RAC2,2,19.58 (95% CI:17.57 to 21.82),19.58,17.5712,21.8184,5.70278331E-6,4.2913
sp|P32321|DCTD_HUMAN,P32321,DCTD,2,13.98 (95% CI:13.37 to 14.63),13.9827,13.3666,14.6272,2.11187355E-6,3.8056
sp|P49069|CAMLG_HUMAN,P49069,CAMLG,2,13.98 (95% CI:3.58 to 54.64),13.982,3.578,54.6378,1.37089184E-2,3.8055
sp|P62993|GRB2_HUMAN,P62993,GRB2,2,5.65 (95% CI:0.97 to 32.87),5.6457,0.9697,32.8696,8.61166090E-2,2.4971
sp|P98194|AT2C1_HUMAN,P98194,ATP2C1,2,8.82 (95% CI:4.89 to 15.89),8.8166,4.8914,15.8917,1.75288459E-3,3.1402
sp|Q01518|CAP1_HUMAN,Q01518,CAP1,2,29.81 (95% CI:28.24 to 31.48),29.8139,28.2371,31.4788,2.11187355E-6,4.8979
sp|Q05209|PTN12_HUMAN,Q05209,PTPN12,2,14.86 (95% CI:12.94 to 17.06),14.8552,12.9377,17.0568,1.27338056E-5,3.8929
sp|Q5VT79|AXA81_HUMAN / sp|P13928|ANXA8_HUMAN,Q5VT79 / P13928,ANXA8L1 / ANXA8,2,39.92 (95% CI:19.62 to 81.19),39.9167,19.6247,81.1906,5.99924761E-4,5.3189
sp|Q86V88|MGDP1_HUMAN,Q86V88,MDP1,2,8.38 (95% CI:2.75 to 25.54),8.3846,2.753,25.5361,1.42908864E-2,3.0677
sp|Q8N129|CNPY4_HUMAN,Q8N129,CNPY4,2,0.9 (95% CI:0.23 to 3.52),0.9011,0.231,3.5155,8.73451520E-1,-0.1502
sp|Q8TEA7|TBCK_HUMAN,Q8TEA7,TBCK,2,4.28 (95% CI:0.97 to 18.93),4.2767,0.9662,18.9297,8.73798750E-2,2.0965
sp|Q8WWI5|CTL1_HUMAN,Q8WWI5,SLC44A1,2,12.76 (95% CI:8.91 to 18.28),12.7587,8.9072,18.2755,2.26843643E-4,3.6734
sp|Q92572|AP3S1_HUMAN,Q92572,AP3S1,2,2.38 (95% CI:1.42 to 3.97),2.3771,1.424,3.968,2.05795240E-2,1.2492
sp|Q99816|TS101_HUMAN,Q99816,TSG101,2,8.23 (95% CI:3.48 to 19.43),8.2265,3.4824,19.4334,6.57000936E-3,3.0403
sp|Q9BWM7|SFXN3_HUMAN,Q9BWM7,SFXN3,2,7.67 (95% CI:5.93 to 9.93),7.6741,5.9317,9.9284,1.60611332E-4,2.94
sp|Q9BYI3|HYCCI_HUMAN,Q9BYI3,FAM126A,2,3.91 (95% CI:0.94 to 16.28),3.9075,0.9379,16.2795,9.20806513E-2,1.9662
sp|Q9NZN4|EHD2_HUMAN,Q9NZN4,EHD2,2,31.17 (95% CI:20.08 to 48.38),31.171,20.0837,48.379,1.66164005E-4,4.9621
sp|Q9Y6Z7|COL10_HUMAN,Q9Y6Z7,COLEC10,2,20.08 (95% CI:9.66 to 41.73),20.0801,9.6634,41.7254,1.25800307E-3,4.3277
sp|A5YKK6|CNOT1_HUMAN,A5YKK6,CNOT1,2,3.34 (95% CI:1.68 to 6.65),3.3449,1.6833,6.6468,1.83251233E-2,1.742
sp|O14828|SCAM3_HUMAN,O14828,SCAMP3,2,28 (95% CI:20.48 to 38.29),28.0041,20.4818,38.2893,6.60202958E-5,4.8076
sp|O94903|PLPHP_HUMAN,O94903,PLPBP,2,4.68 (95% CI:2.66 to 8.24),4.6807,2.658,8.2426,4.64443724E-3,2.2267
sp|P00751|CFAB_HUMAN,P00751,CFB,2,0.05 (95% CI:0.05 to 0.06),0.0537,0.0464,0.0621,1.18218783E-5,-4.2187
sp|P19105|ML12A_HUMAN / sp|O14950|ML12B_HUMAN,P19105 / O14950,MYL12A / MYL12B,2,29.42 (95% CI:23.76 to 36.42),29.4163,23.7624,36.4155,2.16312850E-5,4.8785
sp|P20674|COX5A_HUMAN,P20674,COX5A,2,18.93 (95% CI:16.17 to 22.15),18.9255,16.1702,22.1504,1.42175791E-5,4.2423
sp|P25100|ADA1D_HUMAN,P25100,ADRA1D,2,0.16 (95% CI:0 to 7.87),0.156,0.0031,7.8733,3.27288984E-1,-2.6801
sp|P27448|MARK3_HUMAN,P27448,MARK3,2,6.21 (95% CI:0.62 to 62.11),6.2067,0.6202,62.1137,1.39053675E-1,2.6338
sp|P43307|SSRA_HUMAN,P43307,SSR1,2,81.47 (95% CI:33.34 to 199.07),81.4712,33.3427,199.0706,7.06533985E-4,6.3482
sp|P55212|CASP6_HUMAN,P55212,CASP6,2,1.99 (95% CI:0.27 to 14.5),1.9852,0.2718,14.498,4.59697880E-1,0.9893
sp|P56962|STX17_HUMAN,P56962,STX17,2,5.35 (95% CI:4.89 to 5.85),5.3512,4.892,5.8535,1.42175791E-5,2.4199
sp|P62280|RS11_HUMAN,P62280,RPS11,2,3.66 (95% CI:1.15 to 11.62),3.6578,1.151,11.6239,6.55118596E-2,1.871
sp|P62917|RL8_HUMAN,P62917,RPL8,2,4.85 (95% CI:1.98 to 11.87),4.8509,1.9827,11.8685,1.81178081E-2,2.2783
sp|P82650|RT22_HUMAN,P82650,MRPS22,2,3.77 (95% CI:2.03 to 7.02),3.7714,2.0268,7.0177,1.00722215E-2,1.9151
sp|Q13616|CUL1_HUMAN,Q13616,CUL1,2,1.12 (95% CI:0.2 to 6.13),1.1206,0.2048,6.1299,8.89588115E-1,0.1642
sp|Q14667|K0100_HUMAN,Q14667,KIAA0100,2,10.25 (95% CI:3.84 to 27.35),10.2469,3.8397,27.3453,7.28996879E-3,3.3571
sp|Q15654|TRIP6_HUMAN,Q15654,TRIP6,2,22.99 (95% CI:8.92 to 59.26),22.9911,8.9205,59.2557,2.48160063E-3,4.523
sp|Q16644|MAPK3_HUMAN,Q16644,MAPKAPK3,2,6.98 (95% CI:1.94 to 25.15),6.9757,1.9351,25.1467,2.84255631E-2,2.8023
sp|Q5VWT5|FYB2_HUMAN,Q5VWT5,FYB2,2,0.72 (95% CI:0.38 to 1.38),0.7225,0.3772,1.384,3.03926018E-1,-0.4689
sp|Q68D85|NR3L1_HUMAN,Q68D85,NCR3LG1,2,6.45 (95% CI:2.54 to 16.36),6.4462,2.5394,16.3635,1.23625403E-2,2.6885
sp|Q86YN1|DOPP1_HUMAN,Q86YN1,DOLPP1,2,37.59 (95% CI:7.56 to 186.93),37.5918,7.5598,186.9293,8.42854231E-3,5.2323
sp|Q9UHJ6|SHPK_HUMAN,Q9UHJ6,SHPK,2,4.6 (95% CI:2.91 to 7.26),4.5952,2.9077,7.262,2.43224546E-3,2.2001
sp|Q9Y2L9|LRCH1_HUMAN,Q9Y2L9,LRCH1,2,7.82 (95% CI:3.85 to 15.88),7.8227,3.8546,15.8755,3.79997689E-3,2.9677
sp|Q9Y3C6|PPIL1_HUMAN,Q9Y3C6,PPIL1,2,1.34 (95% CI:0.7 to 2.58),1.3416,0.6989,2.5754,3.49524201E-1,0.424
sp|Q9Y5K5|UCHL5_HUMAN,Q9Y5K5,UCHL5,2,7.54 (95% CI:4.86 to 11.7),7.5386,4.8588,11.6965,8.71811707E-4,2.9143
sp|O14656|TOR1A_HUMAN,O14656,TOR1A,2,7.21 (95% CI:4.92 to 10.59),7.2144,4.9169,10.5854,6.13306896E-4,2.8509
sp|P01877|IGHA2_HUMAN,P01877,IGHA2,2,0.45 (95% CI:0.39 to 0.53),0.453,0.3853,0.5325,7.19670969E-4,-1.1425
sp|P03973|SLPI_HUMAN,P03973,SLPI,2,0.6 (95% CI:0.19 to 1.92),0.6046,0.1907,1.9166,3.63507572E-1,-0.7259
sp|P10644|KAP0_HUMAN,P10644,PRKAR1A,2,22.24 (95% CI:18.63 to 26.56),22.2424,18.6283,26.5576,1.67246014E-5,4.4752
sp|P17812|PYRG1_HUMAN,P17812,CTPS1,2,1.14 (95% CI:0.94 to 1.39),1.1439,0.943,1.3876,1.78198472E-1,0.1939
sp|P19652|A1AG2_HUMAN,P19652,ORM2,2,0.08 (95% CI:0.07 to 0.1),0.0847,0.0746,0.0962,1.29084535E-5,-3.5611
sp|P35237|SPB6_HUMAN,P35237,SERPINB6,2,21.55 (95% CI:18.27 to 25.4),21.5461,18.2742,25.404,1.43395365E-5,4.4294
sp|Q01968|OCRL_HUMAN,Q01968,OCRL,2,0.88 (95% CI:0.32 to 2.46),0.8807,0.3156,2.4571,7.87099679E-1,-0.1833
sp|Q03167|TGBR3_HUMAN,Q03167,TGFBR3,2,3.61 (95% CI:1.19 to 10.93),3.6051,1.1888,10.9327,6.05171979E-2,1.85
sp|Q04721|NOTC2_HUMAN,Q04721,NOTCH2,2,10.02 (95% CI:7.46 to 13.45),10.0214,7.4645,13.4543,1.66164005E-4,3.325
sp|Q08379|GOGA2_HUMAN,Q08379,GOLGA2,2,2.53 (95% CI:1.94 to 3.3),2.5341,1.9431,3.305,2.08641477E-3,1.3415
sp|Q14651|PLSI_HUMAN,Q14651,PLS1,2,4 (95% CI:2.84 to 5.63),3.9993,2.8418,5.6283,1.30410699E-3,1.9998
sp|Q6NXE6|ARMC6_HUMAN,Q6NXE6,ARMC6,2,2.11 (95% CI:0.22 to 19.86),2.1111,0.2244,19.8641,4.73075103E-1,1.078
sp|Q92552|RT27_HUMAN,Q92552,MRPS27,2,1.26 (95% CI:0.61 to 2.6),1.2611,0.6126,2.596,4.83888332E-1,0.3347
sp|Q96FN4|CPNE2_HUMAN,Q96FN4,CPNE2,2,8.59 (95% CI:5.82 to 12.67),8.5898,5.8242,12.6688,4.94064344E-4,3.1026
sp|Q9BV35|SCMC3_HUMAN / sp|Q6KCM7|SCMC2_HUMAN,Q9BV35 / Q6KCM7,SLC25A23 / SLC25A25,2,235.16 (95% CI:20.86 to 2650.78),235.1608,20.862,2650.7796,8.50736243E-3,7.8775
sp|Q9H159|CAD19_HUMAN,Q9H159,CDH19,2,0.44 (95% CI:0.31 to 0.63),0.4419,0.3103,0.6291,7.87848128E-3,-1.1783
sp|Q9NRR6|INP5E_HUMAN,Q9NRR6,INPP5E,2,1.47 (95% CI:0.75 to 2.9),1.4717,0.7465,2.9012,2.50318639E-1,0.5575
sp|Q9P0L0|VAPA_HUMAN,Q9P0L0,VAPA,2,11.03 (95% CI:7.25 to 16.79),11.0331,7.249,16.7926,4.48006576E-4,3.4638
sp|Q9P2R3|ANFY1_HUMAN,Q9P2R3,ANKFY1,2,2.74 (95% CI:1.97 to 3.82),2.7426,1.969,3.8201,3.25747991E-3,1.4555
sp|Q9ULL1|PKHG1_HUMAN,Q9ULL1,PLEKHG1,2,0.22 (95% CI:0.04 to 1.16),0.2181,0.041,1.1601,1.02908425E-1,-2.197
sp|Q9Y316|MEMO1_HUMAN,Q9Y316,MEMO1,2,0.72 (95% CI:0.38 to 1.36),0.7207,0.3825,1.3577,2.89728477E-1,-0.4726
sp|Q9Y6Y8|S23IP_HUMAN,Q9Y6Y8,SEC23IP,2,2.73 (95% CI:0.26 to 28.34),2.7333,0.2636,28.3383,3.69635890E-1,1.4506
tr|A0A075B7D8|A0A075B7D8_HUMAN,A0A075B7D8,IGHV3OR15-7,2,0.12 (95% CI:0.09 to 0.17),0.1248,0.0943,0.1653,1.97281293E-4,-3.0019
sp|O60237|MYPT2_HUMAN,O60237,PPP1R12B,2,6.08 (95% CI:4.23 to 8.74),6.0787,4.2269,8.7419,6.86401475E-4,2.6038
sp|P31947|1433S_HUMAN,P31947,SFN,2,33.75 (95% CI:29.33 to 38.83),33.7483,29.329,38.8335,6.71752356E-6,5.0767
sp|P35241|RADI_HUMAN,P35241,RDX,2,17.84 (95% CI:14.43 to 22.05),17.8356,14.4253,22.0521,3.25352734E-5,4.1567
sp|P35754|GLRX1_HUMAN,P35754,GLRX,2,8.23 (95% CI:4.36 to 15.51),8.2266,4.3623,15.514,2.45476446E-3,3.0403
sp|P46060|RAGP1_HUMAN,P46060,RANGAP1,2,2.29 (95% CI:0.97 to 5.44),2.293,0.9661,5.4427,9.10080828E-2,1.1973
sp|P54920|SNAA_HUMAN,P54920,NAPA,2,20.12 (95% CI:9.25 to 43.77),20.1179,9.2463,43.7721,1.51969811E-3,4.3304
sp|Q2TB90|HKDC1_HUMAN,Q2TB90,HKDC1,2,28.21 (95% CI:25.32 to 31.42),28.2053,25.3229,31.4158,4.43967556E-6,4.8179
sp|Q5BJE1|CC178_HUMAN,Q5BJE1,CCDC178,2,6577170.18 (95% CI:4469947.99 to 9677778.73),6577170.1772,4469947.9861,9677778.7291,2.88562190E-6,22.649
sp|Q5TCZ1|SPD2A_HUMAN,Q5TCZ1,SH3PXD2A,2,3.75 (95% CI:3.4 to 4.14),3.7526,3.3981,4.1442,3.43000127E-5,1.9079
sp|Q5VST6|AB17B_HUMAN,Q5VST6,ABHD17B,2,8.64 (95% CI:5.06 to 14.75),8.6355,5.0568,14.7466,1.33467025E-3,3.1103
sp|Q5VW32|BROX_HUMAN,Q5VW32,BROX,2,37.73 (95% CI:17.07 to 83.4),37.7313,17.0709,83.3967,8.83325289E-4,5.2377
sp|Q6ZSS7|MFSD6_HUMAN,Q6ZSS7,MFSD6,2,19.9 (95% CI:13.06 to 30.32),19.899,13.0583,30.3233,2.25746908E-4,4.3146
sp|Q8NE00|TM104_HUMAN,Q8NE00,TMEM104,2,1.45 (95% CI:0.65 to 3.26),1.4542,0.6494,3.2564,3.35836948E-1,0.5403
sp|Q9C0C9|UBE2O_HUMAN,Q9C0C9,UBE2O,2,7.5 (95% CI:4.1 to 13.72),7.4986,4.0972,13.7239,2.43027069E-3,2.9066
sp|Q9H0R3|TM222_HUMAN,Q9H0R3,TMEM222,2,9.33 (95% CI:4.62 to 18.87),9.3349,4.6189,18.8661,2.83753834E-3,3.2226
sp|Q9UMR2|DD19B_HUMAN,Q9UMR2,DDX19B,2,2.33 (95% CI:1.17 to 4.63),2.3262,1.1682,4.6321,5.17337999E-2,1.218
sp|Q9Y3A6|TMED5_HUMAN,Q9Y3A6,TMED5,2,1.29 (95% CI:0.66 to 2.53),1.2924,0.66,2.5311,4.15241044E-1,0.3701
sp|Q9Y4D1|DAAM1_HUMAN,Q9Y4D1,DAAM1,2,1.41 (95% CI:0.36 to 5.59),1.4115,0.3562,5.5929,5.77237731E-1,0.4972
sp|Q9Y5K8|VATD_HUMAN,Q9Y5K8,ATP6V1D,2,5.55 (95% CI:2.64 to 11.65),5.546,2.6391,11.6547,7.92246855E-3,2.4714
sp|O00442|RTCA_HUMAN,O00442,RTCA,2,14.68 (95% CI:8.66 to 24.89),14.6797,8.6591,24.8865,6.38863256E-4,3.8757
sp|O60266|ADCY3_HUMAN,O60266,ADCY3,2,3.13 (95% CI:2.47 to 3.98),3.1343,2.4703,3.9769,7.64208596E-4,1.6482
sp|O60613|SEP15_HUMAN,O60613,SELENOF,2,65.49 (95% CI:18.75 to 228.65),65.4853,18.7547,228.6526,2.40580472E-3,6.0331
sp|P01889|HLAB_HUMAN,P01889,HLA-B,2,21.32 (95% CI:12.41 to 36.66),21.3243,12.4053,36.6559,4.64934467E-4,4.4144
sp|P09486|SPRC_HUMAN,P09486,SPARC,2,48.6 (95% CI:43.18 to 54.7),48.603,43.1827,54.7037,3.82738209E-6,5.603
sp|P09960|LKHA4_HUMAN,P09960,LTA4H,2,1.5 (95% CI:0.24 to 9.38),1.502,0.2406,9.3762,6.19339909E-1,0.5869
sp|P13598|ICAM2_HUMAN,P13598,ICAM2,2,2.22 (95% CI:0.61 to 8.09),2.2157,0.6065,8.0947,2.20617909E-1,1.1478
sp|P14780|MMP9_HUMAN,P14780,MMP9,2,0.2 (95% CI:0.06 to 0.68),0.2006,0.0595,0.6769,4.19818384E-2,-2.3175
sp|P26640|SYVC_HUMAN,P26640,VARS1,2,2.45 (95% CI:1.42 to 4.21),2.447,1.4227,4.2086,2.20960732E-2,1.291
sp|P42336|PK3CA_HUMAN,P42336,PIK3CA,2,20024.91 (95% CI:6.33 to 63345188.67),20024.9149,6.3304,63345188.6682,5.13651602E-2,14.2895
sp|P62072|TIM10_HUMAN,P62072,TIMM10,2,1.22 (95% CI:0.6 to 2.49),1.2223,0.6002,2.4893,5.32341119E-1,0.2896
sp|Q16531|DDB1_HUMAN,Q16531,DDB1,2,1.29 (95% CI:0.22 to 7.59),1.289,0.219,7.5874,7.53168871E-1,0.3663
sp|Q16620|NTRK2_HUMAN,Q16620,NTRK2,2,43.3 (95% CI:14.37 to 130.45),43.3035,14.3746,130.4517,2.25099093E-3,5.4364
sp|Q4G0F5|VP26B_HUMAN,Q4G0F5,VPS26B,2,1.02 (95% CI:0.82 to 1.26),1.0198,0.8224,1.2647,8.46547162E-1,0.0283
sp|Q5T3F8|CSCL2_HUMAN,Q5T3F8,TMEM63B,2,4.78 (95% CI:2.78 to 8.21),4.7764,2.7779,8.2124,3.88843994E-3,2.2559
sp|Q5U5X0|LYRM7_HUMAN,Q5U5X0,LYRM7,2,1.62 (95% CI:0.2 to 12.97),1.6246,0.2036,12.9655,6.01695709E-1,0.7001
sp|Q7L1V2|MON1B_HUMAN,Q7L1V2,MON1B,2,1550.13 (95% CI:0.26 to 9144110.13),1550.1273,0.2628,9144110.1295,1.21162461E-1,10.5982
sp|Q7L211|ABHDD_HUMAN,Q7L211,ABHD13,2,2.7 (95% CI:0.62 to 11.78),2.7048,0.621,11.7806,1.86383520E-1,1.4355
sp|Q8IWV8|UBR2_HUMAN,Q8IWV8,UBR2,2,7.66 (95% CI:4.54 to 12.91),7.6564,4.5424,12.9051,1.47449702E-3,2.9367
sp|Q8N0X7|SPART_HUMAN,Q8N0X7,SPART,2,2.75 (95% CI:1.08 to 7.01),2.7489,1.0781,7.0094,6.81648333E-2,1.4589
sp|Q8N3T1|GLT15_HUMAN,Q8N3T1,GALNT15,2,12.41 (95% CI:3.08 to 50),12.4127,3.0813,50.0026,1.68532125E-2,3.6337
sp|Q92542|NICA_HUMAN,Q92542,NCSTN,2,0.06 (95% CI:0.03 to 0.11),0.0603,0.0336,0.1082,7.61989344E-4,-4.0517
sp|Q96A35|RM24_HUMAN,Q96A35,MRPL24,2,5.81 (95% CI:2.9 to 11.64),5.8064,2.8967,11.6388,5.93225944E-3,2.5376
sp|Q9BSQ5|CCM2_HUMAN,Q9BSQ5,CCM2,2,14.89 (95% CI:4.77 to 46.44),14.8854,4.7712,46.4398,7.26599430E-3,3.8958
sp|Q9Y4E8|UBP15_HUMAN,Q9Y4E8,USP15,2,2.61 (95% CI:1.02 to 6.69),2.6086,1.0168,6.6929,7.90368252E-2,1.3833
sp|O00501|CLD5_HUMAN,O00501,CLDN5,2,23.25 (95% CI:12.46 to 43.39),23.2486,12.458,43.3857,6.56124312E-4,4.5391
sp|O14949|QCR8_HUMAN,O14949,UQCRQ,2,11.79 (95% CI:4.31 to 32.21),11.7856,4.312,32.2127,6.55395768E-3,3.559
sp|O14976|GAK_HUMAN,O14976,GAK,2,2.77 (95% CI:1.29 to 5.97),2.774,1.2884,5.9723,4.12028252E-2,1.472
sp|O15127|SCAM2_HUMAN,O15127,SCAMP2,2,36.6 (95% CI:26.58 to 50.39),36.5993,26.5819,50.3917,5.58198699E-5,5.1937
sp|O75962|TRIO_HUMAN,O75962,TRIO,2,0.79 (95% CI:0.64 to 0.97),0.7905,0.6415,0.9741,6.49295321E-2,-0.3392
sp|O95721|SNP29_HUMAN,O95721,SNAP29,2,35.39 (95% CI:31.8 to 39.38),35.3866,31.7981,39.38,3.78157736E-6,5.1451
sp|P03915|NU5M_HUMAN,P03915,MT-ND5,2,0.7 (95% CI:0.1 to 4.81),0.6999,0.1018,4.8144,6.79533347E-1,-0.5147
sp|P07355|ANXA2_HUMAN,P07355,ANXA2,2,6.31 (95% CI:4.78 to 8.33),6.3103,4.779,8.3323,2.80574559E-4,2.6577
sp|P07585|PGS2_HUMAN,P07585,DCN,2,3.99 (95% CI:1.53 to 10.36),3.9866,1.5344,10.3578,3.23010625E-2,1.9951
sp|P10646|TFPI1_HUMAN,P10646,TFPI,2,2.49 (95% CI:0.57 to 10.97),2.4933,0.5665,10.9746,2.19218992E-1,1.3181
sp|P20648|ATP4A_HUMAN,P20648,ATP4A,2,40.49 (95% CI:32.19 to 50.93),40.49,32.1905,50.9294,2.05997206E-5,5.3395
sp|P43405|KSYK_HUMAN,P43405,SYK,2,6.33 (95% CI:3.3 to 12.14),6.3293,3.3009,12.1364,4.12185273E-3,2.6621
sp|P49747|COMP_HUMAN,P49747,COMP,2,41.7 (95% CI:34.51 to 50.39),41.7027,34.5141,50.3884,1.24134557E-5,5.3821
sp|P51523|ZNF84_HUMAN,P51523,ZNF84,2,20.59 (95% CI:14.71 to 28.81),20.5895,14.7144,28.8103,1.08256834E-4,4.3638
sp|P60842|IF4A1_HUMAN,P60842,EIF4A1,2,17.4 (95% CI:15.5 to 19.52),17.3953,15.5005,19.5217,6.91716132E-6,4.1206
sp|P62269|RS18_HUMAN,P62269,RPS18,2,15.34 (95% CI:11.62 to 20.26),15.3404,11.6158,20.2593,8.34529382E-5,3.9393
sp|P62820|RAB1A_HUMAN,P62820,RAB1A,2,27.25 (95% CI:25.3 to 29.35),27.247,25.2983,29.3459,2.58538115E-6,4.768
sp|Q14152|EIF3A_HUMAN,Q14152,EIF3A,2,6.3 (95% CI:5.97 to 6.66),6.3039,5.9674,6.6593,3.72474926E-6,2.6562
sp|Q15365|PCBP1_HUMAN,Q15365,PCBP1,2,13.12 (95% CI:7.48 to 22.98),13.1154,7.4839,22.9843,8.77578301E-4,3.7132
sp|Q6VY07|PACS1_HUMAN,Q6VY07,PACS1,2,4.98 (95% CI:3.49 to 7.11),4.9819,3.4931,7.1053,9.16764863E-4,2.3167
sp|Q7Z5G4|GOGA7_HUMAN,Q7Z5G4,GOLGA7,2,0.73 (95% CI:0 to 149.98),0.7289,0.0035,149.9784,9.03246239E-1,-0.4563
sp|Q8N9R8|SCAI_HUMAN,Q8N9R8,SCAI,2,4842.87 (95% CI:0.77 to 30619280.3),4842.8694,0.766,30619280.298,8.89545659E-2,12.2416
sp|Q92526|TCPW_HUMAN,Q92526,CCT6B,2,10.68 (95% CI:8.33 to 13.69),10.6804,8.3297,13.6946,9.09443005E-5,3.4169
sp|Q9H425|CA198_HUMAN,Q9H425,C1orf198,2,8.09 (95% CI:3.62 to 18.09),8.0926,3.6199,18.0916,5.45009886E-3,3.0166
sp|Q9Y5J7|TIM9_HUMAN,Q9Y5J7,TIMM9,2,23.77 (95% CI:6.07 to 93.04),23.7668,6.0714,93.0364,7.77730470E-3,4.5709
sp|Q9Y6R0|NUMBL_HUMAN,Q9Y6R0,NUMBL,2,4.2 (95% CI:3.39 to 5.2),4.1965,3.3893,5.1959,2.68944155E-4,2.0692
sp|O43402|EMC8_HUMAN,O43402,EMC8,2,14.28 (95% CI:5.31 to 38.42),14.278,5.306,38.4212,4.87623811E-3,3.8357
sp|O43633|CHM2A_HUMAN,O43633,CHMP2A,2,7.46 (95% CI:0.66 to 84.06),7.4579,0.6616,84.0634,1.26373279E-1,2.8988
sp|O75083|WDR1_HUMAN,O75083,WDR1,2,17.67 (95% CI:15.94 to 19.58),17.6652,15.9382,19.5793,5.48623426E-6,4.1428
sp|O95169|NDUB8_HUMAN,O95169,NDUFB8,2,29.02 (95% CI:17.85 to 47.17),29.0188,17.8513,47.1724,2.43125780E-4,4.8589
sp|O95260|ATE1_HUMAN,O95260,ATE1,2,2.47 (95% CI:1.73 to 3.54),2.4725,1.7282,3.5374,5.94582340E-3,1.306
sp|P11117|PPAL_HUMAN,P11117,ACP2,2,3.8 (95% CI:3.03 to 4.77),3.8011,3.0288,4.7704,4.11661740E-4,1.9264
sp|P37837|TALDO_HUMAN,P37837,TALDO1,2,11.35 (95% CI:9.76 to 13.2),11.3531,9.7642,13.2005,2.06418063E-5,3.505
sp|P53667|LIMK1_HUMAN,P53667,LIMK1,2,2.14 (95% CI:0.94 to 4.86),2.1409,0.9428,4.8617,9.85207387E-2,1.0982
sp|P61163|ACTZ_HUMAN,P61163,ACTR1A,2,35.41 (95% CI:24.2 to 51.82),35.4108,24.1962,51.8233,9.58588031E-5,5.1461
sp|P62873|GBB1_HUMAN,P62873,GNB1,2,33.78 (95% CI:25.55 to 44.66),33.7781,25.549,44.6578,3.99980382E-5,5.078
sp|Q13614|MTMR2_HUMAN,Q13614,MTMR2,2,4.19 (95% CI:1.48 to 11.87),4.1897,1.4786,11.8714,3.74585113E-2,2.0668
sp|Q16706|MA2A1_HUMAN,Q16706,MAN2A1,2,6.82 (95% CI:6.38 to 7.29),6.8204,6.3848,7.2858,5.00834113E-6,2.7699
sp|Q68EM7|RHG17_HUMAN,Q68EM7,ARHGAP17,2,5.58 (95% CI:3.27 to 9.52),5.5806,3.2706,9.5224,2.72408069E-3,2.4804
sp|Q6XYB7|LBX2_HUMAN,Q6XYB7,LBX2,2,46.65 (95% CI:22.24 to 97.87),46.6549,22.24,97.8722,6.01692845E-4,5.544
sp|Q8TF64|GIPC3_HUMAN,Q8TF64,GIPC3,2,0.52 (95% CI:0.28 to 0.94),0.5175,0.2837,0.9441,6.64527460E-2,-0.9503
sp|Q96N66|MBOA7_HUMAN,Q96N66,MBOAT7,2,32.74 (95% CI:3.65 to 293.64),32.7401,3.6504,293.645,2.46362597E-2,5.033
sp|Q9C0I1|MTMRC_HUMAN,Q9C0I1,MTMR12,2,1.16 (95% CI:0.41 to 3.27),1.1609,0.4124,3.2677,7.51609565E-1,0.2153
sp|Q9H1Y0|ATG5_HUMAN,Q9H1Y0,ATG5,2,0.01 (95% CI:0 to 0.02),0.0054,0.0019,0.0159,7.34694259E-4,-7.523
sp|Q9H336|CRLD1_HUMAN,Q9H336,CRISPLD1,2,3.58 (95% CI:2.32 to 5.52),3.5795,2.3191,5.5249,3.67025823E-3,1.8398
sp|Q9H9T3|ELP3_HUMAN,Q9H9T3,ELP3,2,0.39 (95% CI:0.14 to 1.1),0.3913,0.1392,1.1,1.03729995E-1,-1.3538
sp|Q9UNF0|PACN2_HUMAN,Q9UNF0,PACSIN2,2,23.61 (95% CI:18.3 to 30.45),23.6076,18.3039,30.4481,4.15974244E-5,4.5612
sp|Q9Y4H4|GPSM3_HUMAN,Q9Y4H4,GPSM3,2,74.1 (95% CI:21.42 to 256.4),74.1029,21.4166,256.4007,2.15183185E-3,6.2115
sp|O15042|SR140_HUMAN,O15042,U2SURP,2,23.15 (95% CI:6.9 to 77.64),23.1516,6.9036,77.6398,5.46695364E-3,4.533
sp|O43150|ASAP2_HUMAN,O43150,ASAP2,2,5.42 (95% CI:0.5 to 58.2),5.4164,0.5041,58.1951,1.71825035E-1,2.4373
