Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|Q9H0A8|COMD4_HUMAN,Q9H0A8,COMMD4,2,1363117.2 (95% CI:985247.2 to 1885910.98),1363117.2033,985247.1998,1885910.9778,2.62472413E-6,20.3785
sp|Q9NX20|RM16_HUMAN,Q9NX20,MRPL16,2,0.01 (95% CI:0 to 0.03),0.0102,0.0032,0.0331,1.47449702E-3,-6.6134
sp|Q9UHL4|DPP2_HUMAN,Q9UHL4,DPP7,2,20.43 (95% CI:15.22 to 27.43),20.4314,15.221,27.4256,7.30892682E-5,4.3527
sp|Q9UI12|VATH_HUMAN,Q9UI12,ATP6V1H,2,3.99 (95% CI:0.79 to 20),3.9874,0.7949,20.0007,1.17638452E-1,1.9954
sp|Q9UN37|VPS4A_HUMAN,Q9UN37,VPS4A,2,5.53 (95% CI:3.29 to 9.3),5.5301,3.2887,9.2993,2.53386299E-3,2.4673
sp|O60239|3BP5_HUMAN,O60239,SH3BP5,2,8.29 (95% CI:0.94 to 72.76),8.2867,0.9438,72.7605,8.81649546E-2,3.0508
sp|O95336|6PGL_HUMAN,O95336,PGLS,2,7.23 (95% CI:2 to 26.09),7.2288,2.0032,26.0861,2.69998720E-2,2.8537
sp|P04217|A1BG_HUMAN,P04217,A1BG,2,0.06 (95% CI:0.05 to 0.07),0.0588,0.048,0.072,2.99511256E-5,-4.0881
sp|P08519|APOA_HUMAN,P08519,LPA,2,5.65 (95% CI:5.1 to 6.26),5.648,5.0959,6.26,1.85793502E-5,2.4978
sp|P21810|PGS1_HUMAN,P21810,BGN,2,3.81 (95% CI:2.39 to 6.08),3.8126,2.3891,6.0843,3.98446893E-3,1.9308
sp|P22830|HEMH_HUMAN,P22830,FECH,2,3.97 (95% CI:2.99 to 5.27),3.9714,2.9941,5.2678,7.25331242E-4,1.9897
sp|P28072|PSB6_HUMAN,P28072,PSMB6,2,17.64 (95% CI:11.54 to 26.97),17.6418,11.5417,26.9658,2.62412960E-4,4.1409
sp|P34913|HYES_HUMAN,P34913,EPHX2,2,0.86 (95% CI:0.47 to 1.56),0.8558,0.4685,1.5632,5.65406787E-1,-0.2247
sp|P40200|TACT_HUMAN,P40200,CD96,2,2.34 (95% CI:0.04 to 155.38),2.3434,0.0353,155.3848,6.49735306E-1,1.2286
sp|P49721|PSB2_HUMAN,P49721,PSMB2,2,21.89 (95% CI:18.35 to 26.12),21.8939,18.3493,26.1232,1.67727428E-5,4.4525
sp|P50914|RL14_HUMAN,P50914,RPL14,2,18.37 (95% CI:0.4 to 853.12),18.3713,0.3956,853.1204,1.52159268E-1,4.1994
sp|P52209|6PGD_HUMAN,P52209,PGD,2,24.09 (95% CI:16.54 to 35.08),24.0893,16.5431,35.0777,1.30686029E-4,4.5903
sp|P61088|UBE2N_HUMAN,P61088,UBE2N,2,14.05 (95% CI:11.6 to 17.02),14.0498,11.5966,17.0218,3.13419354E-5,3.8125
sp|Q08043|ACTN3_HUMAN,Q08043,ACTN3,2,40.39 (95% CI:33.32 to 48.97),40.3925,33.3185,48.9683,1.32476829E-5,5.336
sp|Q08830|FGL1_HUMAN,Q08830,FGL1,2,1.75 (95% CI:1.22 to 2.52),1.7538,1.2209,2.5194,2.65172721E-2,0.8105
sp|Q16836|HCDH_HUMAN,Q16836,HADH,2,29.88 (95% CI:22.14 to 40.34),29.8849,22.139,40.341,5.49390261E-5,4.9013
sp|Q53LP3|SWAHC_HUMAN,Q53LP3,SOWAHC,2,0.62 (95% CI:0.18 to 2.12),0.6152,0.1783,2.1224,4.05495623E-1,-0.7009
sp|Q5JSL3|DOC11_HUMAN,Q5JSL3,DOCK11,2,3.32 (95% CI:1 to 11.01),3.3211,1.0019,11.0092,8.21417373E-2,1.7317
sp|Q5MNZ9|WIPI1_HUMAN,Q5MNZ9,WIPI1,2,3.62 (95% CI:1.55 to 8.47),3.6212,1.5475,8.4742,2.84814768E-2,1.8565
sp|Q8N5C1|CAHM5_HUMAN,Q8N5C1,CALHM5,2,7.15 (95% CI:1.8 to 28.44),7.154,1.7996,28.44,3.37593271E-2,2.8388
sp|Q8NCA5|FA98A_HUMAN,Q8NCA5,FAM98A,2,7.11 (95% CI:2.77 to 18.23),7.1084,2.7723,18.2268,1.09204199E-2,2.8295
sp|Q96SL4|GPX7_HUMAN,Q96SL4,GPX7,2,2.43 (95% CI:1.9 to 3.1),2.4257,1.8998,3.0973,1.86523018E-3,1.2784
sp|Q9BY44|EIF2A_HUMAN,Q9BY44,EIF2A,2,1.58 (95% CI:0.88 to 2.86),1.5846,0.8767,2.8639,1.44812829E-1,0.6641
sp|Q9NXH8|TOR4A_HUMAN,Q9NXH8,TOR4A,2,6.05 (95% CI:5.4 to 6.77),6.045,5.3994,6.7679,2.13097248E-5,2.5957
sp|Q9P2S5|WRP73_HUMAN,Q9P2S5,WRAP73,2,0.02 (95% CI:0 to 0.44),0.0176,0.0007,0.4372,4.81854169E-2,-5.83
sp|Q9Y3D3|RT16_HUMAN,Q9Y3D3,MRPS16,2,4.88 (95% CI:0.51 to 46.8),4.8849,0.5099,46.7999,1.76084459E-1,2.2883
sp|O43639|NCK2_HUMAN,O43639,NCK2,2,6.71 (95% CI:3.91 to 11.53),6.7122,3.9086,11.5268,2.04670725E-3,2.7468
sp|O94985|CSTN1_HUMAN,O94985,CLSTN1,2,2.24 (95% CI:1.27 to 3.92),2.2352,1.2749,3.9186,3.33220879E-2,1.1604
sp|O96000|NDUBA_HUMAN,O96000,NDUFB10,2,9.22 (95% CI:4.53 to 18.78),9.2244,4.5312,18.7784,2.97917993E-3,3.2055
sp|P04156|PRIO_HUMAN,P04156,PRNP,2,31.91 (95% CI:17.47 to 58.28),31.9112,17.4719,58.2836,4.40902354E-4,4.996
sp|P05060|SCG1_HUMAN,P05060,CHGB,2,6.79 (95% CI:5.33 to 8.66),6.7917,5.3265,8.6601,1.62249959E-4,2.7638
sp|P12694|ODBA_HUMAN,P12694,BCKDHA,2,0.49 (95% CI:0.21 to 1.12),0.4902,0.2149,1.1181,1.15654781E-1,-1.0286
sp|P14174|MIF_HUMAN,P14174,MIF,2,10.49 (95% CI:8.62 to 12.76),10.4896,8.6207,12.7637,4.63978270E-5,3.3909
sp|P15954|COX7C_HUMAN,P15954,COX7C,2,44.72 (95% CI:16.54 to 120.9),44.7199,16.5414,120.9011,1.57042648E-3,5.4828
sp|P31323|KAP3_HUMAN,P31323,PRKAR2B,2,21.75 (95% CI:13.04 to 36.29),21.7537,13.0392,36.2923,3.80543620E-4,4.4432
sp|P33176|KINH_HUMAN,P33176,KIF5B,2,2.54 (95% CI:0.94 to 6.9),2.5406,0.9354,6.9005,9.72922884E-2,1.3452
sp|P35579|MYH9_HUMAN,P35579,MYH9,2,38.71 (95% CI:35.18 to 42.59),38.7053,35.1782,42.5861,2.96225293E-6,5.2745
sp|P36507|MP2K2_HUMAN,P36507,MAP2K2,2,17.68 (95% CI:12.42 to 25.16),17.6754,12.4168,25.1611,1.47557687E-4,4.1437
sp|P42575|CASP2_HUMAN,P42575,CASP2,2,4.16 (95% CI:0.75 to 23.18),4.1573,0.7455,23.1824,1.26478502E-1,2.0556
sp|P48651|PTSS1_HUMAN,P48651,PTDSS1,2,1.84 (95% CI:0.34 to 9.89),1.8351,0.3405,9.8896,4.40105590E-1,0.8759
sp|P53677|AP3M2_HUMAN,P53677,AP3M2,2,5.49 (95% CI:1.86 to 16.22),5.4906,1.8591,16.2156,2.54741620E-2,2.457
sp|Q13546|RIPK1_HUMAN,Q13546,RIPK1,2,0.39 (95% CI:0.14 to 1.09),0.395,0.1432,1.0896,1.01758247E-1,-1.3402
sp|Q15370|ELOB_HUMAN,Q15370,ELOB,2,4.75 (95% CI:2.82 to 7.99),4.7455,2.8192,7.9879,3.45688776E-3,2.2466
sp|Q674X7|KAZRN_HUMAN,Q674X7,KAZN,2,0.08 (95% CI:0.01 to 0.54),0.0786,0.0115,0.538,4.18631585E-2,-3.6686
sp|Q6L8Q7|PDE12_HUMAN,Q6L8Q7,PDE12,2,10.31 (95% CI:3.82 to 27.78),10.3054,3.8229,27.7802,7.47000101E-3,3.3653
sp|Q6UX07|DHR13_HUMAN,Q6UX07,DHRS13,2,13.8 (95% CI:6.41 to 29.69),13.7999,6.4137,29.6924,2.23827401E-3,3.7866
sp|Q86YS7|C2CD5_HUMAN,Q86YS7,C2CD5,2,1.71 (95% CI:0.38 to 7.73),1.7052,0.3759,7.7347,4.49434818E-1,0.77
sp|Q92934|BAD_HUMAN,Q92934,BAD,2,1650.6 (95% CI:0.13 to 21153880.33),1650.599,0.1288,21153880.3347,1.42652696E-1,10.6888
sp|Q96CW1|AP2M1_HUMAN,Q96CW1,AP2M1,2,4.66 (95% CI:2.57 to 8.47),4.6642,2.5692,8.4676,5.55735112E-3,2.2216
sp|Q96EQ0|SGTB_HUMAN,Q96EQ0,SGTB,2,5.22 (95% CI:1.14 to 23.83),5.2236,1.145,23.8308,6.67457638E-2,2.385
sp|Q96H20|SNF8_HUMAN,Q96H20,SNF8,2,3.2 (95% CI:1.64 to 6.24),3.1993,1.6405,6.2393,1.88555580E-2,1.6778
sp|Q9BXS5|AP1M1_HUMAN,Q9BXS5,AP1M1,2,11 (95% CI:8.2 to 14.75),10.9971,8.2017,14.7454,1.45052549E-4,3.4591
tr|Q9HB66|Q9HB66_HUMAN,Q9HB66,MKKS,2,4.84 (95% CI:1.69 to 13.84),4.8354,1.6893,13.8405,2.93552164E-2,2.2736
sp|Q9NZL9|MAT2B_HUMAN,Q9NZL9,MAT2B,2,4.09 (95% CI:2.71 to 6.19),4.094,2.7094,6.1863,2.25503581E-3,2.0335
sp|Q9P1Z2|CACO1_HUMAN,Q9P1Z2,CALCOCO1,2,8.66 (95% CI:6.52 to 11.51),8.6631,6.5207,11.5093,1.82087219E-4,3.1149
sp|Q9P266|JCAD_HUMAN,Q9P266,JCAD,2,0.71 (95% CI:0.46 to 1.07),0.7061,0.4644,1.0735,1.25976037E-1,-0.502
sp|Q9Y6D6|BIG1_HUMAN,Q9Y6D6,ARFGEF1,2,7 (95% CI:5.61 to 8.75),7.0038,5.608,8.7469,1.17100731E-4,2.8081
sp|A0A075B6K4|LV310_HUMAN,A0A075B6K4,IGLV3-10,2,0.3 (95% CI:0.24 to 0.37),0.2991,0.2448,0.3654,3.78906399E-4,-1.7415
sp|O00468|AGRIN_HUMAN,O00468,AGRN,2,11.2 (95% CI:8.37 to 14.97),11.1966,8.3726,14.973,1.37698794E-4,3.485
sp|O15067|PUR4_HUMAN,O15067,PFAS,2,0.51 (95% CI:0.03 to 8.49),0.5068,0.0302,8.4921,5.90277277E-1,-0.9804
sp|O43157|PLXB1_HUMAN,O43157,PLXNB1,2,4.97 (95% CI:4.61 to 5.37),4.9749,4.6075,5.3716,1.06398793E-5,2.3147
sp|P01023|A2MG_HUMAN,P01023,A2M,2,0.05 (95% CI:0.05 to 0.05),0.0489,0.0451,0.053,2.97462594E-6,-4.3539
sp|P11717|MPRI_HUMAN,P11717,IGF2R,2,1.42 (95% CI:0.28 to 7.12),1.4219,0.2839,7.1213,6.24929523E-1,0.5078
sp|P27918|PROP_HUMAN,P27918,CFP,2,0.04 (95% CI:0.04 to 0.04),0.0391,0.0364,0.042,2.53554197E-6,-4.6776
sp|P35443|TSP4_HUMAN,P35443,THBS4,2,26.07 (95% CI:21.86 to 31.08),26.0662,21.8606,31.0808,1.45453167E-5,4.7041
sp|P49418|AMPH_HUMAN,P49418,AMPH,2,23.14 (95% CI:20.11 to 26.63),23.1418,20.1136,26.6259,8.86094459E-6,4.5324
sp|P49441|INPP_HUMAN,P49441,INPP1,2,352.86 (95% CI:0.05 to 2738577.57),352.8609,0.0455,2738577.5692,1.97091329E-1,8.463
sp|P55209|NP1L1_HUMAN,P55209,NAP1L1,2,37.77 (95% CI:30.67 to 46.52),37.7703,30.6684,46.5167,1.68674831E-5,5.2392
sp|P62249|RS16_HUMAN,P62249,RPS16,2,134.56 (95% CI:5.38 to 3363.96),134.5641,5.3828,3363.961,2.79728734E-2,7.0721
sp|P78356|PI42B_HUMAN,P78356,PIP4K2B,2,23.67 (95% CI:8.39 to 66.74),23.6709,8.3948,66.7447,3.22960327E-3,4.565
sp|Q01415|GALK2_HUMAN,Q01415,GALK2,2,9.28 (95% CI:2.74 to 31.42),9.2768,2.7389,31.4215,1.63525827E-2,3.2136
sp|Q13442|HAP28_HUMAN,Q13442,PDAP1,2,2.07 (95% CI:1.43 to 3.02),2.0741,1.4251,3.0187,1.35379662E-2,1.0525
sp|Q5M8T2|S35D3_HUMAN,Q5M8T2,SLC35D3,2,2.57 (95% CI:1.73 to 3.82),2.5697,1.7306,3.8156,7.13110803E-3,1.3616
sp|Q63HN8|RN213_HUMAN,Q63HN8,RNF213,2,0.53 (95% CI:0.26 to 1.07),0.5331,0.2646,1.0742,1.06248042E-1,-0.9075
