Protein Name,Gene Name,AD ROC,AD q-value,AD direction,PDD ROC,PDD q-value,PDD direction,PD-noMCI ROC,PD-noMCI q-value,PD-noMCI direction,HC ROC,HC q-value,HC direction,Dementia ROC,Dementia q-value,Dementia direction,Parkinson's ROC,Parkinson's q-value,Parkinson's direction
sp|P32004|L1CAM_HUMAN,L1CAM,0.553333333,0.788472164,increased,0.523333333,0.954854768,decreased,0.533333333,0.872420475,decreased,0.503333333,0.996900209,increased,0.5225,0.926945932,increased,0.5425,0.790685814,decreased
sp|Q9Y512|SAM50_HUMAN,SAM50,0.623333333,0.466139263,decreased,0.56,0.859905941,increased,0.69,0.321245666,increased,0.626666667,0.996900209,decreased,0.5475,0.818755302,decreased,0.6875,0.156011746,increased
sp|P06744|G6PI_HUMAN,G6PI,0.64,0.399153903,decreased,0.576666667,0.815722066,increased,0.646666667,0.436619814,increased,0.583333333,0.996900209,decreased,0.5475,0.818755302,decreased,0.6675,0.20610799,increased
sp|Q9Y6C9|MTCH2_HUMAN,MTCH2,0.553333333,0.788472164,increased,0.513333333,0.977174843,increased,0.603333333,0.579815749,decreased,0.536666667,0.996900209,increased,0.55,0.806907832,increased,0.5675,0.660336376,decreased
sp|P16333|NCK1_HUMAN,NCK1,0.553333333,0.788472164,increased,0.673333333,0.460502445,decreased,0.623333333,0.510914218,increased,0.503333333,0.996900209,decreased,0.59,0.653470533,decreased,0.5375,0.814472066,decreased
sp|Q9Y6M9|NDUB9_HUMAN,NDUB9,0.553333333,0.788472164,increased,0.633333333,0.601068318,decreased,0.593333333,0.619664707,increased,0.513333333,0.996900209,decreased,0.56,0.76400269,decreased,0.53,0.852120041,decreased
sp|Q9HD45|TM9S3_HUMAN,TM9S3,0.58,0.651059468,decreased,0.516666667,0.96525993,increased,0.663333333,0.380155866,increased,0.6,0.996900209,decreased,0.5475,0.818755302,decreased,0.635,0.329281885,increased
sp|P37802|TAGL2_HUMAN,TAGL2,0.553333333,0.788472164,decreased,0.51,0.983073469,decreased,0.656666667,0.404460303,increased,0.593333333,0.996900209,decreased,0.5475,0.818755302,decreased,0.61,0.442569406,increased
sp|P08253|MMP2_HUMAN,MMP2,0.583333333,0.63566125,decreased,0.646666667,0.559232228,increased,0.526666667,0.902617362,decreased,0.536666667,0.996900209,decreased,0.5475,0.818755302,increased,0.59,0.5451605,increased
sp|P49721|PSB2_HUMAN,PSB2,0.553333333,0.788472164,increased,0.603333333,0.717991265,increased,0.72,0.271365625,decreased,0.563333333,0.996900209,increased,0.6175,0.582129533,increased,0.5875,0.555574922,decreased
sp|Q15008|PSMD6_HUMAN,PSMD6,0.553333333,0.788472164,increased,0.506666667,0.988796416,decreased,0.533333333,0.872420475,increased,0.58,0.996900209,decreased,0.535,0.87614951,increased,0.52,0.910333831,increased
sp|O00399|DCTN6_HUMAN,DCTN6,0.526666667,0.899639831,decreased,0.536666667,0.922960873,decreased,0.546666667,0.811452395,decreased,0.61,0.996900209,increased,0.5475,0.818755302,decreased,0.5625,0.689724428,decreased
sp|Q9P1Z2|CACO1_HUMAN,CACO1,0.54,0.84451972,decreased,0.603333333,0.717991265,increased,0.52,0.932451087,decreased,0.543333333,0.996900209,decreased,0.5475,0.818755302,increased,0.5625,0.689724428,increased
sp|P50552|VASP_HUMAN,VASP,0.546666667,0.815226592,decreased,0.516666667,0.96525993,decreased,0.523333333,0.919572482,increased,0.54,0.996900209,increased,0.5475,0.818755302,decreased,0.505,0.982734238,increased
sp|Q03518|TAP1_HUMAN,TAP1,0.56,0.750591871,decreased,0.503333333,0.995613332,decreased,0.503333333,0.992623502,increased,0.56,0.996900209,increased,0.5475,0.818755302,decreased,0.5,1,decreased
sp|P09110|THIK_HUMAN,THIK,0.553333333,0.788472164,increased,0.6,0.730173911,decreased,0.56,0.752240617,decreased,0.606666667,0.996900209,increased,0.535,0.87614951,decreased,0.62,0.397160452,decreased
sp|O43741|AAKB2_HUMAN / sp|Q9Y478|AAKB1_HUMAN,AAKB2,0.55,0.799788994,increased,0.65,0.542235216,decreased,0.546666667,0.811452395,increased,0.553333333,0.996900209,increased,0.575,0.708542334,decreased,0.5775,0.607038462,decreased
sp|P09525|ANXA4_HUMAN,ANXA4,0.55,0.799788994,increased,0.55,0.887826339,decreased,0.66,0.391166407,decreased,0.66,0.996900209,increased,0.5,1,decreased,0.6575,0.237453734,decreased
sp|Q7Z460|CLAP1_HUMAN,CLAP1,0.55,0.799788994,increased,0.59,0.771220591,decreased,0.61,0.554952928,decreased,0.65,0.996900209,increased,0.53,0.899748702,decreased,0.65,0.268835769,decreased
sp|P06681|CO2_HUMAN,CO2,0.55,0.799788994,increased,0.66,0.501713435,increased,0.686666667,0.327395716,decreased,0.523333333,0.996900209,decreased,0.6575,0.544178501,increased,0.52,0.910333831,decreased
sp|P50416|CPT1A_HUMAN,CPT1A,0.55,0.799788994,increased,0.606666667,0.700889568,decreased,0.606666667,0.566023002,increased,0.55,0.996900209,decreased,0.5425,0.841376357,decreased,0.5,1,decreased
sp|P11277|SPTB1_HUMAN,SPTB1,0.766666667,0.088694506,decreased,0.706666667,0.363328388,increased,0.666666667,0.374866276,increased,0.606666667,0.996900209,decreased,0.545,0.832412337,decreased,0.78,0.026429611,increased
sp|O00203|AP3B1_HUMAN,AP3B1,0.53,0.883376761,decreased,0.53,0.935104022,decreased,0.616666667,0.530500415,decreased,0.676666667,0.996900209,increased,0.545,0.832412337,decreased,0.61,0.442569406,decreased
sp|Q14118|DAG1_HUMAN,DAG1,0.55,0.799788994,increased,0.58,0.79872244,increased,0.576666667,0.672885683,decreased,0.553333333,0.996900209,decreased,0.5975,0.626083156,increased,0.5025,0.996438721,increased
sp|Q12768|WASC5_HUMAN,WASC5,0.55,0.799788994,decreased,0.51,0.983073469,decreased,0.63,0.48677294,decreased,0.69,0.996900209,increased,0.545,0.832412337,decreased,0.605,0.468271493,decreased
sp|Q6P4E1|GOLM2_HUMAN,GOLM2,0.55,0.799788994,increased,0.503333333,0.995613332,increased,0.596666667,0.60413743,decreased,0.543333333,0.996900209,increased,0.54,0.854896308,increased,0.57,0.647300666,decreased
sp|P21266|GSTM3_HUMAN,GSTM3,0.55,0.799788994,increased,0.63,0.618560545,decreased,0.583333333,0.649143772,increased,0.503333333,0.996900209,decreased,0.56,0.76400269,decreased,0.535,0.825220622,decreased
