Protein Name,Gene Name,AD ROC,AD q-value,AD direction,PDD ROC,PDD q-value,PDD direction,PD-noMCI ROC,PD-noMCI q-value,PD-noMCI direction,HC ROC,HC q-value,HC direction,Dementia ROC,Dementia q-value,Dementia direction,Parkinson's ROC,Parkinson's q-value,Parkinson's direction
sp|Q9UKM7|MA1B1_HUMAN,MA1B1,0.763333333,0.091967971,increased,0.676666667,0.448372378,decreased,0.563333333,0.737005205,decreased,0.523333333,0.996900209,decreased,0.565,0.74795129,increased,0.68,0.174014854,decreased
sp|O14594|NCAN_HUMAN,NCAN,0.763333333,0.091967971,increased,0.503333333,0.995613332,increased,0.696666667,0.310251449,decreased,0.57,0.996900209,decreased,0.7,0.521565295,increased,0.645,0.289208642,decreased
sp|Q92882|OSTF1_HUMAN,OSTF1,0.746666667,0.117366085,decreased,0.513333333,0.977174843,increased,0.61,0.554952928,increased,0.623333333,0.996900209,increased,0.675,0.526540274,decreased,0.5925,0.534121022,increased
sp|Q9UKN8|TF3C4_HUMAN,TF3C4,0.763333333,0.091967971,increased,0.623333333,0.636459379,decreased,0.743333333,0.239823153,decreased,0.603333333,0.996900209,increased,0.605,0.608706439,increased,0.775,0.029231356,decreased
sp|Q7Z2T5|TRM1L_HUMAN,TRM1L,0.763333333,0.091967971,increased,0.596666667,0.745137136,decreased,0.756666667,0.212548236,decreased,0.59,0.996900209,increased,0.625,0.570824621,increased,0.765,0.036542207,decreased
sp|Q9UP79|ATS8_HUMAN,ATS8,0.626666667,0.453713251,decreased,0.606666667,0.700889568,decreased,0.686666667,0.327395716,increased,0.546666667,0.996900209,increased,0.675,0.526540274,decreased,0.56,0.702882475,increased
sp|P24723|KPCL_HUMAN / sp|Q02156|KPCE_HUMAN,KPCL,0.623333333,0.466139263,decreased,0.61,0.695817416,decreased,0.673333333,0.359993352,increased,0.56,0.996900209,increased,0.675,0.526540274,decreased,0.5475,0.765009586,increased
sp|A6QL63|BTBDB_HUMAN,BTBDB,0.76,0.096787396,increased,0.79,0.179536206,decreased,0.633333333,0.475354683,decreased,0.663333333,0.996900209,increased,0.5225,0.926945932,decreased,0.8175,0.01026296,decreased
sp|P01031|CO5_HUMAN,CO5,0.76,0.096787396,increased,0.606666667,0.700889568,increased,0.683333333,0.331458897,decreased,0.683333333,0.996900209,decreased,0.775,0.521565295,increased,0.5575,0.713644274,decreased
sp|Q9BQ69|MACD1_HUMAN,MACD1,0.76,0.096787396,increased,0.746666667,0.267471131,decreased,0.55,0.796446094,decreased,0.536666667,0.996900209,increased,0.51,0.973606248,increased,0.7225,0.083809004,decreased
sp|P42338|PK3CB_HUMAN,PK3CB,0.76,0.096787396,increased,0.58,0.79872244,decreased,0.71,0.296030692,decreased,0.53,0.996900209,increased,0.635,0.558717005,increased,0.7175,0.092061193,decreased
sp|P07225|PROS_HUMAN,PROS,0.76,0.096787396,increased,0.576666667,0.815722066,decreased,0.676666667,0.350726838,decreased,0.506666667,0.996900209,decreased,0.6375,0.55481179,increased,0.69,0.150786512,decreased
sp|Q99720|SGMR1_HUMAN,SGMR1,0.76,0.096787396,increased,0.656666667,0.514988495,decreased,0.67,0.367680691,decreased,0.566666667,0.996900209,increased,0.5775,0.698558463,increased,0.745,0.053338857,decreased
sp|P78356|PI42B_HUMAN,PI42B,0.916666667,0.013521454,decreased,0.7,0.38907745,increased,0.793333333,0.158095946,increased,0.576666667,0.996900209,decreased,0.6625,0.534809545,decreased,0.87,0.002498109,increased
sp|P51692|STA5B_HUMAN,STA5B,0.76,0.096787396,increased,0.686666667,0.413772458,decreased,0.696666667,0.310251449,decreased,0.623333333,0.996900209,increased,0.555,0.783587075,increased,0.7875,0.021286954,decreased
sp|Q32MZ4|LRRF1_HUMAN,LRRF1,0.816666667,0.042803235,decreased,0.6,0.730173911,increased,0.85,0.116978434,increased,0.633333333,0.996900209,decreased,0.6625,0.534809545,decreased,0.8375,0.00584708,increased
sp|Q9H0E2|TOLIP_HUMAN,TOLIP,0.76,0.096787396,increased,0.556666667,0.868302204,decreased,0.7,0.309956878,decreased,0.503333333,0.996900209,decreased,0.6525,0.544178501,increased,0.6925,0.145549278,decreased
sp|Q93009|UBP7_HUMAN,UBP7,0.76,0.096787396,increased,0.563333333,0.856571267,decreased,0.72,0.271365625,decreased,0.523333333,0.996900209,increased,0.6475,0.549553016,increased,0.7125,0.100730506,decreased
sp|Q9H0P0|5NT3A_HUMAN,5NT3A,0.756666667,0.101629748,increased,0.746666667,0.267471131,decreased,0.73,0.263689886,decreased,0.72,0.996900209,increased,0.5075,0.983440442,increased,0.8575,0.003526706,decreased
sp|Q14141|SEPT6_HUMAN,SEPT6,0.783333333,0.068052241,decreased,0.566666667,0.84677824,increased,0.83,0.125776944,increased,0.613333333,0.996900209,decreased,0.6625,0.534809545,decreased,0.7975,0.016718141,increased
sp|P0C0L4|CO4A_HUMAN,CO4A,0.756666667,0.101629748,increased,0.593333333,0.755264333,decreased,0.676666667,0.350726838,decreased,0.513333333,0.996900209,increased,0.6225,0.570824621,increased,0.7025,0.12101753,decreased
sp|Q99627|CSN8_HUMAN,CSN8,0.803333333,0.051970109,decreased,0.586666667,0.778105369,increased,0.703333333,0.304112902,increased,0.513333333,0.996900209,increased,0.6625,0.534809545,decreased,0.7175,0.092061193,increased
sp|Q8TAV4|STML3_HUMAN,STML3,0.773333333,0.080622863,decreased,0.556666667,0.868302204,increased,0.73,0.263689886,increased,0.513333333,0.996900209,decreased,0.6625,0.534809545,decreased,0.715,0.096582812,increased
sp|P42566|EPS15_HUMAN,EPS15,0.78,0.072067725,decreased,0.563333333,0.856571267,increased,0.693333333,0.3204817,increased,0.523333333,0.996900209,increased,0.6625,0.534809545,decreased,0.6925,0.145549278,increased
sp|P01275|GLUC_HUMAN,GLUC,0.756666667,0.101629748,increased,0.593333333,0.755264333,decreased,0.58,0.66218869,decreased,0.583333333,0.996900209,decreased,0.6225,0.570824621,increased,0.63,0.3536022,decreased
sp|O15127|SCAM2_HUMAN,SCAM2,0.673333333,0.285793137,decreased,0.543333333,0.907248369,decreased,0.73,0.263689886,increased,0.513333333,0.996900209,decreased,0.6625,0.534809545,decreased,0.64,0.309496996,increased
sp|P28065|PSB9_HUMAN,PSB9,0.756666667,0.101629748,increased,0.716666667,0.337562715,decreased,0.673333333,0.359993352,decreased,0.633333333,0.996900209,increased,0.53,0.899748702,increased,0.7925,0.018945166,decreased
sp|P27708|PYR1_HUMAN,PYR1,0.756666667,0.101629748,increased,0.53,0.935104022,decreased,0.706666667,0.296886391,decreased,0.52,0.996900209,decreased,0.67,0.526540274,increased,0.6775,0.176557663,decreased
sp|P22059|OSBP1_HUMAN,OSBP1,0.753333333,0.107559038,decreased,0.536666667,0.922960873,increased,0.63,0.48677294,increased,0.586666667,0.996900209,increased,0.6625,0.534809545,decreased,0.625,0.377424437,increased
sp|Q9UBM7|DHCR7_HUMAN,DHCR7,0.58,0.651059468,decreased,0.796666667,0.179536206,increased,0.643333333,0.44575261,decreased,0.573333333,0.996900209,decreased,0.6625,0.534809545,increased,0.615,0.418759506,increased
sp|Q8NEV1|CSK23_HUMAN / sp|P68400|CSK21_HUMAN,CSK23,0.556666667,0.770777214,decreased,0.66,0.501713435,decreased,0.74,0.248204097,increased,0.523333333,0.996900209,decreased,0.6625,0.534809545,decreased,0.56,0.702882475,increased
sp|P04083|ANXA1_HUMAN,ANXA1,0.686666667,0.244312884,decreased,0.53,0.935104022,decreased,0.606666667,0.566023002,increased,0.61,0.996900209,increased,0.6625,0.534809545,decreased,0.5575,0.713644274,increased
sp|P98095|FBLN2_HUMAN,FBLN2,0.53,0.883376761,decreased,0.746666667,0.267471131,increased,0.673333333,0.359993352,decreased,0.543333333,0.996900209,decreased,0.6625,0.534809545,increased,0.555,0.725207243,increased
sp|Q9UKU9|ANGL2_HUMAN,ANGL2,0.753333333,0.107559038,increased,0.616666667,0.666884125,decreased,0.706666667,0.296886391,decreased,0.57,0.996900209,increased,0.6025,0.609816225,increased,0.7425,0.055480012,decreased
sp|Q5JR59|MTUS2_HUMAN,MTUS2,0.6,0.558110232,decreased,0.616666667,0.666884125,decreased,0.583333333,0.649143772,increased,0.633333333,0.996900209,increased,0.6625,0.534809545,decreased,0.525,0.878980496,decreased
sp|Q8N699|MYCT1_HUMAN,MYCT1,0.59,0.604773616,decreased,0.626666667,0.6258633,decreased,0.633333333,0.475354683,increased,0.583333333,0.996900209,increased,0.6625,0.534809545,decreased,0.505,0.982734238,increased
sp|O95197|RTN3_HUMAN,RTN3,0.8,0.053720889,decreased,0.58,0.79872244,increased,0.806666667,0.143086535,increased,0.586666667,0.996900209,decreased,0.665,0.534809545,decreased,0.79,0.019981368,increased
sp|Q92890|UFD1_HUMAN,UFD1,0.786666667,0.065226951,decreased,0.566666667,0.84677824,increased,0.806666667,0.143086535,increased,0.586666667,0.996900209,decreased,0.665,0.534809545,decreased,0.78,0.026429611,increased
sp|P43250|GRK6_HUMAN,GRK6,0.753333333,0.107559038,increased,0.67,0.479099082,decreased,0.62,0.523169459,decreased,0.536666667,0.996900209,increased,0.5625,0.75786164,increased,0.7175,0.092061193,decreased
sp|P08237|PFKAM_HUMAN,PFKAM,0.813333333,0.045245403,decreased,0.593333333,0.755264333,increased,0.763333333,0.201772154,increased,0.543333333,0.996900209,decreased,0.665,0.534809545,decreased,0.7675,0.034546086,increased
sp|Q02818|NUCB1_HUMAN,NUCB1,0.753333333,0.107559038,increased,0.753333333,0.267314181,decreased,0.633333333,0.475354683,decreased,0.633333333,0.996900209,increased,0.5,1,decreased,0.79,0.019981368,decreased
sp|P38606|VATA_HUMAN,VATA,0.77,0.084401751,decreased,0.55,0.887826339,increased,0.756666667,0.212548236,increased,0.536666667,0.996900209,decreased,0.665,0.534809545,decreased,0.73,0.071747055,increased
sp|Q92563|TICN2_HUMAN,TICN2,0.753333333,0.107559038,increased,0.656666667,0.514988495,decreased,0.606666667,0.566023002,decreased,0.51,0.996900209,increased,0.5725,0.719635524,increased,0.6975,0.133446788,decreased
sp|O00299|CLIC1_HUMAN,CLIC1,0.74,0.127541977,decreased,0.52,0.956699224,increased,0.783333333,0.169242965,increased,0.563333333,0.996900209,decreased,0.665,0.534809545,decreased,0.7275,0.075289698,increased
sp|Q96RT1|ERBIN_HUMAN,ERBIN,0.75,0.112995125,decreased,0.53,0.935104022,increased,0.69,0.321245666,increased,0.53,0.996900209,increased,0.665,0.534809545,decreased,0.665,0.212429069,increased
sp|Q16555|DPYL2_HUMAN,DPYL2,0.753333333,0.107559038,decreased,0.533333333,0.934120519,increased,0.676666667,0.350726838,increased,0.543333333,0.996900209,increased,0.665,0.534809545,decreased,0.6575,0.237453734,increased
sp|Q9H4M9|EHD1_HUMAN,EHD1,0.743333333,0.122033905,decreased,0.523333333,0.954854768,increased,0.666666667,0.374866276,increased,0.553333333,0.996900209,increased,0.665,0.534809545,decreased,0.6425,0.299824835,increased
sp|Q96IY4|CBPB2_HUMAN,CBPB2,0.75,0.112995125,increased,0.583333333,0.789512494,decreased,0.64,0.459851023,decreased,0.526666667,0.996900209,decreased,0.625,0.570824621,increased,0.6675,0.20610799,decreased
sp|Q9Y2L5|TPPC8_HUMAN,TPPC8,0.776666667,0.075597982,decreased,0.556666667,0.868302204,increased,0.61,0.554952928,increased,0.61,0.996900209,increased,0.665,0.534809545,decreased,0.625,0.377424437,increased
sp|P42768|WASP_HUMAN,WASP,0.656666667,0.34059815,decreased,0.563333333,0.856571267,decreased,0.726666667,0.263689886,increased,0.506666667,0.996900209,decreased,0.665,0.534809545,decreased,0.6225,0.388880521,increased
sp|O94985|CSTN1_HUMAN,CSTN1,0.75,0.112995125,increased,0.583333333,0.789512494,decreased,0.703333333,0.304112902,decreased,0.536666667,0.996900209,increased,0.625,0.570824621,increased,0.715,0.096582812,decreased
sp|P48047|ATPO_HUMAN,ATPO,0.666666667,0.308214406,decreased,0.553333333,0.876236625,decreased,0.673333333,0.359993352,increased,0.546666667,0.996900209,increased,0.665,0.534809545,decreased,0.59,0.5451605,increased
sp|Q13423|NNTM_HUMAN,NNTM,0.723333333,0.156164101,decreased,0.503333333,0.995613332,increased,0.616666667,0.530500415,increased,0.603333333,0.996900209,increased,0.665,0.534809545,decreased,0.59,0.5451605,increased
sp|Q86VS8|HOOK3_HUMAN,HOOK3,0.75,0.112995125,increased,0.793333333,0.179536206,decreased,0.663333333,0.380155866,decreased,0.706666667,0.996900209,increased,0.5325,0.889841571,decreased,0.8425,0.005104125,decreased
sp|Q6UWP7|LCLT1_HUMAN,LCLT1,0.75,0.112995125,increased,0.72,0.320539261,decreased,0.593333333,0.619664707,decreased,0.563333333,0.996900209,increased,0.5225,0.926945932,increased,0.735,0.064859852,decreased
sp|P48509|CD151_HUMAN,CD151,0.653333333,0.353875231,decreased,0.566666667,0.84677824,decreased,0.683333333,0.331458897,increased,0.536666667,0.996900209,increased,0.665,0.534809545,decreased,0.5875,0.555574922,increased
sp|Q8WWH4|ASZ1_HUMAN,ASZ1,0.523333333,0.91571773,decreased,0.696666667,0.396346226,decreased,0.623333333,0.510914218,increased,0.596666667,0.996900209,increased,0.665,0.534809545,decreased,0.555,0.725207243,decreased
sp|P43307|SSRA_HUMAN,SSRA,0.71,0.184961813,decreased,0.51,0.983073469,decreased,0.573333333,0.686849378,increased,0.646666667,0.996900209,increased,0.665,0.534809545,decreased,0.5475,0.765009586,increased
sp|P11217|PYGM_HUMAN,PYGM,0.53,0.883376761,decreased,0.69,0.407679478,decreased,0.633333333,0.475354683,increased,0.586666667,0.996900209,increased,0.665,0.534809545,decreased,0.5425,0.790685814,decreased
sp|P28288|ABCD3_HUMAN,ABCD3,0.746666667,0.117366085,increased,0.703333333,0.378470178,decreased,0.74,0.248204097,decreased,0.696666667,0.996900209,increased,0.5325,0.889841571,increased,0.8325,0.006890352,decreased
sp|P31751|AKT2_HUMAN,AKT2,0.746666667,0.117366085,increased,0.606666667,0.700889568,decreased,0.733333333,0.261796483,decreased,0.593333333,0.996900209,increased,0.605,0.608706439,increased,0.755,0.044928546,decreased
sp|P24534|EF1B_HUMAN,EF1B,0.81,0.047129129,decreased,0.586666667,0.778105369,increased,0.66,0.391166407,increased,0.563333333,0.996900209,increased,0.6675,0.534809545,decreased,0.685,0.162418896,increased
sp|Q9NW68|BSDC1_HUMAN,BSDC1,0.746666667,0.117366085,increased,0.693333333,0.399659532,decreased,0.69,0.321245666,decreased,0.636666667,0.996900209,increased,0.54,0.854896308,increased,0.7875,0.021286954,decreased
sp|Q9UNH7|SNX6_HUMAN,SNX6,0.69,0.234916081,decreased,0.533333333,0.934120519,decreased,0.756666667,0.212548236,increased,0.533333333,0.996900209,decreased,0.6675,0.534809545,decreased,0.6675,0.20610799,increased
sp|P19320|VCAM1_HUMAN,VCAM1,0.52,0.928173789,decreased,0.743333333,0.273065966,increased,0.52,0.932451087,decreased,0.703333333,0.996900209,decreased,0.6675,0.534809545,increased,0.6675,0.20610799,increased
sp|Q2M3D2|EX3L2_HUMAN,EX3L2,0.746666667,0.117366085,increased,0.78,0.207107249,decreased,0.54,0.843674355,decreased,0.573333333,0.996900209,increased,0.525,0.918757282,decreased,0.74,0.057612408,decreased
sp|O14964|HGS_HUMAN,HGS,0.746666667,0.117366085,increased,0.81,0.167570238,decreased,0.646666667,0.436619814,decreased,0.71,0.996900209,increased,0.5475,0.818755302,decreased,0.8425,0.005104125,decreased
sp|Q14344|GNA13_HUMAN,GNA13,0.74,0.127541977,decreased,0.516666667,0.96525993,increased,0.703333333,0.304112902,increased,0.52,0.996900209,increased,0.6675,0.534809545,decreased,0.665,0.212429069,increased
sp|P05556|ITB1_HUMAN,ITB1,0.723333333,0.156164101,decreased,0.5,1,decreased,0.696666667,0.310251449,increased,0.526666667,0.996900209,increased,0.6675,0.534809545,decreased,0.6475,0.278587344,increased
sp|Q8TF61|FBX41_HUMAN,FBX41,0.676666667,0.275921463,decreased,0.546666667,0.899352028,decreased,0.663333333,0.380155866,increased,0.56,0.996900209,increased,0.6675,0.534809545,decreased,0.5875,0.555574922,increased
sp|Q13526|PIN1_HUMAN,PIN1,0.746666667,0.117366085,increased,0.663333333,0.496935773,decreased,0.663333333,0.380155866,decreased,0.58,0.996900209,increased,0.5625,0.75786164,increased,0.745,0.053338857,decreased
sp|Q92900|RENT1_HUMAN,RENT1,0.746666667,0.117366085,increased,0.586666667,0.778105369,decreased,0.613333333,0.544108172,decreased,0.546666667,0.996900209,decreased,0.62,0.578001502,increased,0.65,0.268835769,decreased
sp|P24557|THAS_HUMAN,THAS,0.64,0.399153903,decreased,0.583333333,0.789512494,decreased,0.616666667,0.530500415,increased,0.606666667,0.996900209,increased,0.6675,0.534809545,decreased,0.525,0.878980496,increased
sp|Q15404|RSU1_HUMAN,RSU1,0.616666667,0.489147376,decreased,0.606666667,0.700889568,decreased,0.636666667,0.467393649,increased,0.586666667,0.996900209,increased,0.6675,0.534809545,decreased,0.5225,0.896177741,increased
sp|Q99719|SEPT5_HUMAN,SEPT5,0.746666667,0.117366085,increased,0.69,0.407679478,decreased,0.593333333,0.619664707,decreased,0.536666667,0.996900209,increased,0.5425,0.841376357,increased,0.7125,0.100730506,decreased
sp|Q86VU5|CMTD1_HUMAN,CMTD1,0.58,0.651059468,decreased,0.643333333,0.572098382,decreased,0.636666667,0.467393649,increased,0.586666667,0.996900209,increased,0.6675,0.534809545,decreased,0.505,0.982734238,decreased
sp|Q9Y3C8|UFC1_HUMAN,UFC1,0.87,0.020413513,decreased,0.656666667,0.514988495,increased,0.713333333,0.287242154,increased,0.5,1,decreased,0.66,0.540747268,decreased,0.7775,0.027902659,increased
sp|Q5VW32|BROX_HUMAN,BROX,0.84,0.031853772,decreased,0.626666667,0.6258633,increased,0.72,0.271365625,increased,0.506666667,0.996900209,decreased,0.66,0.540747268,decreased,0.76,0.039817471,increased
sp|Q66K14|TBC9B_HUMAN,TBC9B,0.543333333,0.827616727,decreased,0.67,0.479099082,decreased,0.546666667,0.811452395,decreased,0.76,0.996900209,increased,0.66,0.540747268,decreased,0.6625,0.21948831,decreased
sp|Q9BXS5|AP1M1_HUMAN,AP1M1,0.75,0.112995125,decreased,0.536666667,0.922960873,increased,0.663333333,0.380155866,increased,0.55,0.996900209,increased,0.66,0.540747268,decreased,0.65,0.268835769,increased
sp|P01024|CO3_HUMAN,CO3,0.743333333,0.122033905,increased,0.57,0.83536513,decreased,0.576666667,0.672885683,decreased,0.596666667,0.996900209,decreased,0.63,0.568701462,increased,0.61,0.442569406,decreased
sp|Q96NW7|LRRC7_HUMAN,LRRC7,0.733333333,0.138113105,decreased,0.52,0.956699224,increased,0.65,0.431240759,increased,0.563333333,0.996900209,increased,0.66,0.540747268,decreased,0.6275,0.365214234,increased
sp|P22234|PUR6_HUMAN,PUR6,0.656666667,0.34059815,decreased,0.556666667,0.868302204,decreased,0.716666667,0.279015253,increased,0.503333333,0.996900209,decreased,0.66,0.540747268,decreased,0.62,0.397160452,increased
sp|O95837|GNA14_HUMAN,GNA14,0.68,0.264803665,decreased,0.533333333,0.934120519,decreased,0.65,0.431240759,increased,0.563333333,0.996900209,increased,0.66,0.540747268,decreased,0.5875,0.555574922,increased
sp|O14531|DPYL4_HUMAN,DPYL4,0.576666667,0.667321359,decreased,0.636666667,0.59256787,decreased,0.54,0.843674355,increased,0.673333333,0.996900209,increased,0.66,0.540747268,decreased,0.5725,0.633544158,decreased
sp|P61764|STXB1_HUMAN,STXB1,0.52,0.928173789,decreased,0.693333333,0.399659532,decreased,0.623333333,0.510914218,increased,0.59,0.996900209,increased,0.66,0.540747268,decreased,0.5525,0.737960087,decreased
sp|Q15555|MARE2_HUMAN,MARE2,0.626666667,0.453713251,decreased,0.586666667,0.778105369,decreased,0.62,0.523169459,increased,0.593333333,0.996900209,increased,0.66,0.540747268,decreased,0.525,0.878980496,increased
sp|P16885|PLCG2_HUMAN,PLCG2,0.616666667,0.489147376,decreased,0.596666667,0.745137136,decreased,0.613333333,0.544108172,increased,0.6,0.996900209,increased,0.66,0.540747268,decreased,0.5125,0.950158038,increased
sp|O15258|RER1_HUMAN,RER1,0.743333333,0.122033905,increased,0.663333333,0.496935773,decreased,0.666666667,0.374866276,decreased,0.586666667,0.996900209,increased,0.56,0.76400269,increased,0.7475,0.051921722,decreased
sp|Q92783|STAM1_HUMAN,STAM1,0.743333333,0.122033905,increased,0.51,0.983073469,decreased,0.726666667,0.263689886,decreased,0.506666667,0.996900209,decreased,0.675,0.526540274,increased,0.6775,0.176557663,decreased
sp|Q8TB37|NUBPL_HUMAN,NUBPL,0.506666667,0.979776119,decreased,0.72,0.320539261,increased,0.673333333,0.359993352,decreased,0.54,0.996900209,decreased,0.66,0.540747268,increased,0.535,0.825220622,increased
sp|Q9Y3A6|TMED5_HUMAN,TMED5,0.856666667,0.024241412,decreased,0.653333333,0.521927887,increased,0.84,0.123021463,increased,0.636666667,0.996900209,decreased,0.6525,0.544178501,decreased,0.87,0.002498109,increased
sp|P68036|UB2L3_HUMAN,UB2L3,0.52,0.928173789,decreased,0.723333333,0.315106922,increased,0.643333333,0.44575261,increased,0.846666667,0.996900209,decreased,0.6525,0.544178501,increased,0.775,0.029231356,increased
sp|Q8IUR0|TPPC5_HUMAN,TPPC5,0.87,0.020413513,decreased,0.666666667,0.484784693,increased,0.696666667,0.310251449,increased,0.506666667,0.996900209,increased,0.6525,0.544178501,decreased,0.7725,0.031142104,increased
sp|Q9NVA2|SEP11_HUMAN,SEP11,0.713333333,0.178256385,decreased,0.51,0.983073469,increased,0.813333333,0.136490298,increased,0.61,0.996900209,decreased,0.6525,0.544178501,decreased,0.7425,0.055480012,increased
sp|P61981|1433G_HUMAN,1433G,0.77,0.084401751,decreased,0.566666667,0.84677824,increased,0.713333333,0.287242154,increased,0.51,0.996900209,decreased,0.6525,0.544178501,decreased,0.71,0.104682375,increased
sp|Q14088|RB33A_HUMAN,RB33A,0.736666667,0.132268441,decreased,0.533333333,0.934120519,increased,0.743333333,0.239823153,increased,0.54,0.996900209,decreased,0.6525,0.544178501,decreased,0.7075,0.109025071,increased
sp|Q10472|GALT1_HUMAN,GALT1,0.536666667,0.860882397,decreased,0.74,0.282156544,increased,0.516666667,0.942954422,decreased,0.686666667,0.996900209,decreased,0.6525,0.544178501,increased,0.6675,0.20610799,increased
sp|Q07507|DERM_HUMAN,DERM,0.74,0.127541977,increased,0.523333333,0.954854768,increased,0.746666667,0.234191313,decreased,0.516666667,0.996900209,decreased,0.6975,0.521565295,increased,0.6675,0.20610799,decreased
sp|Q01813|PFKAP_HUMAN,PFKAP,0.696666667,0.21687892,decreased,0.506666667,0.988796416,decreased,0.686666667,0.327395716,increased,0.516666667,0.996900209,increased,0.6525,0.544178501,decreased,0.635,0.329281885,increased
sp|Q14697|GANAB_HUMAN,GANAB,0.536666667,0.860882397,decreased,0.666666667,0.484784693,decreased,0.513333333,0.956207301,decreased,0.716666667,0.996900209,increased,0.6525,0.544178501,decreased,0.635,0.329281885,decreased
sp|P36406|TRI23_HUMAN,TRI23,0.686666667,0.244312884,decreased,0.516666667,0.96525993,decreased,0.693333333,0.3204817,increased,0.51,0.996900209,increased,0.6525,0.544178501,decreased,0.6325,0.341932788,increased
sp|Q16698|DECR_HUMAN,DECR,0.696666667,0.21687892,decreased,0.506666667,0.988796416,decreased,0.673333333,0.359993352,increased,0.53,0.996900209,increased,0.6525,0.544178501,decreased,0.625,0.377424437,increased
sp|P99999|CYC_HUMAN,CYC,0.653333333,0.353875231,decreased,0.55,0.887826339,decreased,0.663333333,0.380155866,increased,0.54,0.996900209,increased,0.6525,0.544178501,decreased,0.585,0.568745174,increased
sp|P04070|PROC_HUMAN,PROC,0.74,0.127541977,increased,0.566666667,0.84677824,decreased,0.646666667,0.436619814,decreased,0.526666667,0.996900209,decreased,0.63,0.568701462,increased,0.66,0.228588618,decreased
sp|Q562R1|ACTBL_HUMAN,ACTBL,0.626666667,0.453713251,decreased,0.576666667,0.815722066,decreased,0.683333333,0.331458897,increased,0.52,0.996900209,increased,0.6525,0.544178501,decreased,0.58,0.596603645,increased
sp|P68133|ACTS_HUMAN,ACTS,0.613333333,0.500799996,decreased,0.59,0.771220591,decreased,0.686666667,0.327395716,increased,0.516666667,0.996900209,increased,0.6525,0.544178501,decreased,0.5725,0.633544158,increased
sp|P11177|ODPB_HUMAN,ODPB,0.643333333,0.388081113,decreased,0.56,0.859905941,decreased,0.606666667,0.566023002,increased,0.596666667,0.996900209,increased,0.6525,0.544178501,decreased,0.535,0.825220622,increased
sp|Q8IWB7|WDFY1_HUMAN,WDFY1,0.53,0.883376761,decreased,0.673333333,0.460502445,decreased,0.646666667,0.436619814,increased,0.556666667,0.996900209,increased,0.6525,0.544178501,decreased,0.52,0.910333831,decreased
sp|O00186|STXB3_HUMAN,STXB3,0.583333333,0.63566125,decreased,0.62,0.649489131,decreased,0.646666667,0.436619814,increased,0.556666667,0.996900209,increased,0.6525,0.544178501,decreased,0.52,0.910333831,increased
sp|Q96JH7|VCIP1_HUMAN,VCIP1,0.74,0.127541977,increased,0.586666667,0.778105369,decreased,0.633333333,0.475354683,decreased,0.52,0.996900209,decreased,0.615,0.586839583,increased,0.665,0.212429069,decreased
sp|Q9NQ75|CASS4_HUMAN,CASS4,0.61,0.513743552,decreased,0.593333333,0.755264333,decreased,0.6,0.591265295,increased,0.603333333,0.996900209,increased,0.6525,0.544178501,decreased,0.505,0.982734238,increased
sp|Q6IQ22|RAB12_HUMAN,RAB12,0.73,0.143997494,decreased,0.523333333,0.954854768,increased,0.796666667,0.158095946,increased,0.59,0.996900209,decreased,0.655,0.544178501,decreased,0.74,0.057612408,increased
sp|Q9H223|EHD4_HUMAN,EHD4,0.763333333,0.091967971,decreased,0.556666667,0.868302204,increased,0.726666667,0.263689886,increased,0.52,0.996900209,decreased,0.655,0.544178501,decreased,0.7125,0.100730506,increased
sp|Q5T0N5|FBP1L_HUMAN,FBP1L,0.786666667,0.065226951,decreased,0.58,0.79872244,increased,0.696666667,0.310251449,increased,0.51,0.996900209,increased,0.655,0.544178501,decreased,0.7075,0.109025071,increased
sp|Q9BT78|CSN4_HUMAN,CSN4,0.79,0.062628909,decreased,0.583333333,0.789512494,increased,0.676666667,0.350726838,increased,0.53,0.996900209,increased,0.655,0.544178501,decreased,0.695,0.139145353,increased
sp|P27348|1433T_HUMAN,1433T,0.753333333,0.107559038,decreased,0.546666667,0.899352028,increased,0.706666667,0.296886391,increased,0.5,1,decreased,0.655,0.544178501,decreased,0.69,0.150786512,increased
sp|O76003|GLRX3_HUMAN,GLRX3,0.736666667,0.132268441,increased,0.52,0.956699224,decreased,0.816666667,0.136490298,decreased,0.6,0.996900209,increased,0.6625,0.534809545,increased,0.7525,0.04599851,decreased
sp|O00161|SNP23_HUMAN,SNP23,0.706666667,0.192574956,decreased,0.5,1,decreased,0.733333333,0.261796483,increased,0.526666667,0.996900209,decreased,0.655,0.544178501,decreased,0.675,0.183384419,increased
sp|Q8NBZ7|UXS1_HUMAN,UXS1,0.816666667,0.042803235,decreased,0.61,0.695817416,increased,0.58,0.66218869,increased,0.626666667,0.996900209,increased,0.655,0.544178501,decreased,0.6425,0.299824835,increased
sp|P22695|QCR2_HUMAN,QCR2,0.716666667,0.170457994,decreased,0.51,0.983073469,increased,0.673333333,0.359993352,increased,0.533333333,0.996900209,increased,0.655,0.544178501,decreased,0.6375,0.319731187,increased
sp|O75489|NDUS3_HUMAN,NDUS3,0.736666667,0.132268441,increased,0.706666667,0.363328388,decreased,0.506666667,0.984480413,decreased,0.523333333,0.996900209,decreased,0.5225,0.926945932,increased,0.66,0.228588618,decreased
