Particle Size (nm),Concentration Average (particles / ml),Stdev
767,292480,48753.25904
769,286710,49624.34953
771,281010,50381.59651
773,275376.6667,51045.86783
775,269810,51605.1593
777,264313.3333,52070.51778
779,258886.6667,52446.26096
781,253530,52738.07796
783,248240,52939.20475
785,243026.6667,53070.11986
787,237883.3333,53120.55869
789,232810,53104.02307
791,227813.3333,53022.12389
793,222893.3333,52881.41598
795,218050,52688.93116
797,213280,52438.97469
799,208586.6667,52151.10886
801,203970,51817.31435
