"","TPAD1010","TPAD1016","TPAD1022","TPAD1008","TPAD1036","TPAD1040","TPAD1021","TPAD1012","TPAD1037","TPAD1025","TPAD1013","TPAD1035","TPAD1018","TPAD1007","TPAD1030","TPAD1039","TPAD1028","TPAD1005","TPAD1004","TPAD1017","TPAD1001","TPAD1011","TPAD1026","TPAD1032","TPAD1019","TPAD1033","TPAD1006","TPAD1024","TPAD1002","TPAD1038","TPAD1031","TPAD1034","TPAD1015","TPAD1027","TPAD1029","TPAD1003","TPAD1009","TPAD1014","TPAD1023","TPAD1020"
"sp|Q92963|RIT1_HUMAN",17.71407063797,19.0799918978099,17.7297624203847,16.1422260282105,17.1790238411658,17.4410807172984,15.0400634310633,18.9327275109641,18.6685402516293,17.3770576020814,18.9923151448281,18.5049588703622,18.6792095925547,17.6055164286358,17.5624677979789,18.6789464948797,17.7833467434953,18.8572682528675,16.8093494694046,18.7517721827732,17.9356139533629,19.020307277483,17.7484541119426,17.3855288522908,17.4461415159307,19.4492508437559,17.8437859461289,17.9236359317563,17.9278161554485,17.5074726090243,16.5649344820038,17.5627055379214,17.7456816093019,17.8407171316864,17.2012315155632,17.7225551950279,17.4969622193016,18.946456424275,17.8164571462659,17.7199627953036
"sp|Q99442|SEC62_HUMAN",22.0334131358952,22.0015694497732,22.6954821763945,22.2270256861491,21.6498442618475,22.3291336550873,22.2669528569227,22.3337100702913,21.8623388983298,22.1652659458147,22.1993844925907,21.795621404222,21.8229395659181,22.1457879280297,22.0493005274231,21.8061557784165,22.0246469120177,22.1324672212528,21.9217828114874,22.2806734816359,21.8752898608129,21.9857229057867,22.1900011852969,22.1735217007473,21.9183043303651,22.5222667533698,22.5431187277973,22.3648386798631,22.3491052600895,22.2956318768446,22.1630229804737,22.0628167989968,22.0781496052193,22.4360538878517,22.2145457979649,21.9717259286185,22.2581627201641,21.6715211850883,22.1512239512983,21.8735254443435
"sp|Q9BVK6|TMED9_HUMAN",23.581742410065,23.6429554011833,24.2072599673271,23.7620312561625,23.8155520203801,24.2465719095086,23.5303483047673,22.4096360554492,24.7942843500939,23.9495202907535,23.2735327907365,23.5891380490191,24.6438675658173,24.0035770235341,24.2735920957273,23.1410609734999,24.5740842622754,23.9209736573405,23.9296990787759,23.5654875291504,24.2787963959247,24.3911703306821,24.0180704322475,23.081672437605,23.7483393408651,25.1220032848759,24.0748486715373,24.4567265716614,24.0351340091897,23.678444157928,23.6275370189551,24.4874948250731,23.52717104733,24.3155483190749,23.5811292558384,24.0235560958079,24.4254116370032,23.2951951221526,24.6174297000432,23.6805203639166
"sp|Q9BX93|PG12B_HUMAN",14.9291008999546,15.4686722095188,14.5200195283084,12.6176405761762,16.5965796793025,14.2103927297523,14.0340754457156,17.489713633257,13.3350550486113,15.2391019038975,14.7380174876459,14.1712381864141,16.0059545161397,14.9137362835401,14.8688181255648,15.4627404855836,12.9328105791817,14.740090876775,17.8158406230683,17.1281351617695,13.0891605474087,14.6003900917877,15.6221444081608,14.5710957800198,16.0405377876785,11.8943560806503,14.7781939660034,17.4076858333709,16.4646334382001,16.5862431649997,15.8236099154186,14.4603715798425,15.414722607824,16.4045549953907,15.605485387658,14.8905939571491,14.8983716671257,14.9336661136583,13.5611345033475,17.7747808442932
"sp|Q9NQP4|PFD4_HUMAN",19.0173026439907,20.4173688671905,18.9895718846988,18.5579138685067,18.660299588242,19.677814042254,18.9532577469915,18.0439879416161,19.9923824793193,19.1050434516183,20.9318556818052,19.848456066395,20.2480511424006,19.065511029798,19.3665324889252,19.4311818955043,19.3321202437558,19.7940301232246,18.3711318463251,20.0875395160688,19.5789987702511,20.3361150633491,18.8785921136726,19.1235655099609,22.1674476614294,20.1703492194872,19.4152079587542,19.6743932314124,18.7890850131413,19.8638744227229,20.0913169669635,19.9268230278521,20.8664791677426,19.5022829447326,19.0054776919486,18.9522096283832,19.1137194156054,20.2855118927239,20.2208048576512,18.9347475169166
"sp|Q9UII2|ATIF1_HUMAN",22.2774598621954,22.3250471961688,20.7459355915615,20.943689956125,20.8162168148711,23.1065913224147,23.864862152785,23.73338825953,25.9268774040894,22.7613257752948,26.1691163019772,25.3915485025737,25.213765749011,21.8443370306731,24.5361792522391,24.8809133344195,22.2866093561754,21.420547244849,20.2091389589002,26.1052984340708,22.1857921314689,26.0135936850704,19.3314583610559,18.547146638024,22.0620160588428,22.8133067983504,22.25618533127,21.2716888992914,21.3359652276667,21.6001213401362,25.3784513532329,20.7869248508562,26.6380895086623,21.2476667644304,19.6939433804579,24.5590403644321,21.4112141991509,19.3375813204212,24.6481687622729,25.9732823649006
"sp|O00471|EXOC5_HUMAN",18.8867036627259,22.1962939729091,19.4182375748323,18.3135505582031,20.2587126876211,19.5910337172159,19.2461421411927,20.2466504991289,20.2439500007511,19.6252770078215,21.1040234613037,20.7792387263345,20.1576752933056,18.8273169175902,17.0748519133193,21.1313834964183,20.1319958756123,19.0723495789778,18.9009831840752,21.0495705430232,19.6964368912395,20.3307800283827,18.3729920176515,19.4592006432219,20.1723291833361,20.4105138238794,19.4650332154153,18.8653642094352,16.9847843006231,19.1720312512082,20.017497177897,19.423787491043,21.6381975530327,17.8727810343576,19.2417121483972,19.3580806945972,18.7679301724545,19.738795820897,19.538800372377,19.3569484249857
"sp|O15173|PGRC2_HUMAN",23.3923699605079,23.5159799175573,23.9564031345328,23.473550062813,23.2928152351945,23.7152824988201,23.2149886908122,22.3036956157815,24.3285448450795,23.7577499009813,22.5642691948913,23.6952576640917,24.2256385839023,23.5400396100488,23.5179435014891,22.8385585223706,24.161513469825,23.2899635111585,23.745141912541,22.9868934401882,23.6750452670122,24.0419603317193,23.6692819808102,22.7928744401873,23.3661986679188,24.7696804980136,23.446795654633,24.0813098205336,23.7568556276802,22.8035906031044,22.8241725123368,23.9491314636698,22.6091001975581,23.6327372933994,23.0876053146636,23.3929252345035,23.6877092595897,23.4676099314045,23.9852444618063,23.1834742690826
"sp|O60243|H6ST1_HUMAN",22.257977061418,22.4296433501029,21.8363135034869,22.6662567887475,22.3622778517623,21.4893884984729,22.3436167782625,22.4258613377106,21.2756416711393,22.028989968399,22.1079287753301,22.2166114608513,21.2218624980747,22.0447095440397,22.0839627435018,22.3829290865907,20.7442841095742,22.8593359132773,22.0577019413504,22.4231847781364,20.6906002716889,21.673488328085,21.8016182027467,22.3009589454068,21.9018454925249,20.6437203205455,22.2500742528693,21.7235857399847,22.0987038927327,22.662583914615,21.5504386164928,21.7043536067134,21.8648450611201,21.2792809944886,21.8301564921499,21.6902937476122,21.8314420266614,21.3333028474425,20.3068621404599,21.8592770597197
"sp|P13798|ACPH_HUMAN",25.8659645004309,25.0959677968626,25.5738160670235,25.7488561601222,25.1643803366016,25.2347256346752,26.2051571975621,25.5075429373088,24.5493890188545,25.7971569163743,24.8676664331911,24.7420506032165,24.5108473492399,25.7771080600274,25.8030022845619,25.3188631324492,25.2438090342495,25.3837839732232,25.8277023107943,25.1284907057908,25.7896057198613,24.958370781811,25.5090027129142,26.6299568748337,25.08946689505,24.5265531870012,25.3098681343788,25.642643302201,26.3873531586266,25.4629393492868,25.8677141102919,25.2791184386268,25.2539977901339,25.0662027641025,25.557864159827,25.9925869631852,25.6882516196239,24.8788440678788,25.4068067653245,25.3568233934471
